股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600004,白云机场,2016-12-16,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,13.710000,14.090000,13.690000,14.040000,23.937824,14.040000,0.024070,6654144.000000,92687206.000000,0.005786,16146366486.120001,16146366486.120001,0.000000,0.000000,11.668485,2.860647,8.751000,1.518281,13.952000,14.293000,14.594500,14.748333,14.467000,1日、5日均线金叉；,-0.206390,-0.089639,-0.233501,,16.147988,11.934670,24.574624,金叉,14.642500,15.478256,13.806744,41.666667,41.666667,37.652157,35.726853,42.404471,0.029176,0.825976
sh600004,白云机场,2016-12-15,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,13.790000,13.900000,13.680000,13.710000,23.375183,13.710000,-0.003634,6657282.000000,91980612.000000,0.005789,15766857872.129999,15766857872.129999,0.000000,0.000000,11.394226,2.793409,8.545314,1.482595,14.080000,14.356000,14.642500,14.769667,14.463167,,-0.198271,-0.060452,-0.275638,,7.240850,9.828011,2.066528,,14.711500,15.449910,13.973090,33.333333,41.666667,8.296643,19.517290,34.931686,0.015988,0.889571
sh600004,白云机场,2016-12-14,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.070000,14.100000,13.740000,13.760000,23.460431,13.760000,-0.023421,7785760.000000,108150487.000000,0.006770,15824359177.280001,15824359177.280001,0.000000,0.000000,11.435781,2.803597,8.576479,1.488002,14.266000,14.451000,14.711500,14.798667,14.466833,10日、60日均线死叉；,-0.151424,-0.025997,-0.250853,,9.446181,11.121591,6.095359,死叉,14.774000,15.391017,14.156983,41.666667,43.055556,8.821043,20.225748,35.602413,0.025550,1.071114
sh600004,白云机场,2016-12-13,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.160000,14.220000,13.900000,14.090000,24.023073,14.090000,-0.004944,6653962.000000,93521484.000000,0.005786,16203867791.270000,16203867791.270000,0.000000,0.000000,11.710040,2.870834,8.782165,1.523688,14.434000,14.546000,14.774000,14.828333,14.469667,5日、60日均线死叉；,-0.094518,0.005360,-0.199756,,13.169271,11.959297,15.589219,金叉,14.826500,15.400565,14.252435,41.666667,43.055556,13.521635,25.917446,40.523922,0.022599,1.028826
sh600004,白云机场,2016-12-12,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.690000,14.740000,14.100000,14.160000,24.142421,14.160000,-0.035422,12529362.000000,179748276.000000,0.010895,16284369618.480000,16284369618.480000,0.000000,0.000000,11.768216,2.885097,8.825795,1.531258,14.544000,14.639000,14.826500,14.847000,14.474167,1日、5日均线死叉；1日、60日均线死叉；20日、30日均线死叉；,-0.054111,0.030329,-0.168881,,9.538853,11.354310,5.907938,,14.877000,15.423931,14.330069,41.666667,41.666667,14.927782,27.417697,41.695604,0.043597,2.246137
sh600004,白云机场,2016-12-09,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.640000,14.740000,14.590000,14.680000,25.029007,14.680000,0.002732,3792135.000000,55674920.000000,0.003297,16882383192.040001,16882383192.040001,0.000000,0.000000,12.200382,2.991047,9.149906,1.587490,14.634000,14.718000,14.877000,14.863000,14.475833,,-0.008877,0.051439,-0.120633,,11.247054,12.262038,9.217086,,14.906000,15.528655,14.283345,50.000000,41.666667,41.904000,45.256744,52.502476,0.010246,0.959187
sh600004,白云机场,2016-12-08,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.620000,14.700000,14.570000,14.640000,24.960808,14.640000,0.002740,5583003.000000,81753262.000000,0.004855,16836382147.920000,16836382147.920000,0.000000,0.000000,12.167139,2.982897,9.124975,1.583165,14.632000,14.750000,14.906000,14.857000,14.469167,1日、5日均线金叉；,-0.003959,0.066518,-0.140955,,9.275645,12.769530,2.287874,,14.932500,15.612593,14.252407,41.666667,38.888889,34.292384,42.624442,51.577283,0.008904,1.176697
sh600004,白云机场,2016-12-07,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.660000,14.660000,14.560000,14.600000,24.892609,14.600000,-0.002732,3779173.000000,55183539.000000,0.003286,16790381103.799999,16790381103.799999,0.000000,0.000000,12.133895,2.974747,9.100043,1.578839,14.636000,14.787000,14.932500,14.848333,14.460000,,0.006449,0.084138,-0.155378,,8.850176,14.516473,-2.482418,,14.944000,15.629947,14.258053,41.666667,37.500000,26.239046,39.978863,50.656175,0.006831,0.670576
sh600004,白云机场,2016-12-06,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.590000,14.680000,14.580000,14.640000,24.960808,14.640000,0.002053,2207238.000000,32334638.000000,0.001919,16836382147.920000,16836382147.920000,0.000000,0.000000,12.167139,2.982897,9.124975,1.583165,14.658000,14.822000,14.944000,14.844333,14.451167,10日、30日均线死叉；,0.023712,0.103560,-0.159696,,10.743619,17.349622,-2.468388,,14.964500,15.697256,14.231744,41.666667,36.111111,29.223854,41.743240,51.596766,0.006845,0.322975
sh600004,白云机场,2016-12-05,交通运输,广东自贸；整体上市；金融参股；QFII重仓；参股金融,广东；广州,14.600000,14.700000,14.580000,14.610000,24.909659,14.610000,-0.004090,4405904.000000,64443739.000000,0.003831,16801881364.830000,16801881364.830000,0.000000,0.000000,12.142206,2.976784,9.106276,1.579921,14.734000,14.859000,14.964500,14.841333,14.437500,,0.041329,0.123522,-0.164387,,12.219324,20.652623,-4.647275,,14.976000,15.724340,14.227660,33.333333,34.722222,23.806780,39.920348,50.942046,0.008180,0.528948
