股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sz000656,金科股份,2016-12-14,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.180000,5.240000,5.120000,5.210000,29.628434,5.210000,-0.009506,75393485.000000,390496462.580000,0.020803,18881781455.939999,27856141926.360001,0.000000,0.000000,18.166603,1.054368,6.122382,1.677777,5.214000,5.257000,5.190000,5.104667,4.989667,1日、5日均线死叉；,0.060356,0.068721,-0.016731,,32.981495,37.026845,24.890794,,5.183000,5.561549,4.804451,50.000000,54.166667,49.563071,51.802637,53.649831,0.022814,0.915741
sz000656,金科股份,2016-12-13,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.330000,5.370000,5.140000,5.260000,29.912776,5.260000,-0.003788,78704058.000000,413584592.450000,0.021717,19062988571.639999,28123475342.160000,0.000000,0.000000,18.340946,1.064487,6.181138,1.693878,5.220000,5.272000,5.183000,5.097333,4.973333,1日、10日均线死叉；,0.065308,0.070813,-0.011010,,33.472242,39.049520,22.317686,,5.174500,5.553817,4.795183,50.000000,55.555556,53.853235,53.792151,54.715340,0.043561,0.950282
sz000656,金科股份,2016-12-12,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.180000,5.350000,5.150000,5.280000,30.026513,5.280000,0.015385,132403727.000000,696982984.840000,0.036534,19135471417.919998,28230408708.480000,0.000000,0.000000,18.410684,1.068534,6.204640,1.700319,5.200000,5.233000,5.174500,5.096333,4.956500,1日、10日均线金叉；,0.065588,0.072189,-0.013203,,36.019174,41.838159,24.381203,,5.158500,5.535296,4.781704,58.333333,55.555556,55.453240,54.560476,55.135093,0.038462,1.641478
sz000656,金科股份,2016-12-09,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.100000,5.230000,5.100000,5.200000,29.571566,5.200000,0.015625,69679866.000000,361104469.330000,0.019227,18845540032.799999,27802675243.200001,0.000000,0.000000,18.131734,1.052344,6.110631,1.674556,5.162000,5.217000,5.158500,5.085333,4.939500,1日、5日均线金叉；1日、20日均线金叉；,0.062954,0.073840,-0.021771,,38.488220,44.747652,25.969357,,5.142500,5.523545,4.761455,58.333333,55.555556,50.556620,52.049208,53.775744,0.025391,0.907328
sz000656,金科股份,2016-12-08,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.200000,5.210000,5.110000,5.120000,29.116619,5.120000,-0.022901,55471600.000000,285857548.370000,0.015306,18555608647.680000,27374941777.919998,0.000000,0.000000,17.852784,1.036155,6.016621,1.648794,5.192000,5.217000,5.142500,5.076667,4.926000,1日、10日均线死叉；1日、20日均线死叉；5日、10日均线死叉；,0.066823,0.076561,-0.019476,,39.115309,47.877368,21.591192,,5.131500,5.516722,4.746278,50.000000,55.555556,45.570870,49.490357,52.393426,0.019084,0.555433
sz000656,金科股份,2016-12-07,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.160000,5.280000,5.080000,5.240000,29.799039,5.240000,0.015504,77849897.000000,403995784.670000,0.021481,18990505725.360001,28016541975.840000,0.000000,0.000000,18.271209,1.060439,6.157635,1.687438,5.300000,5.222000,5.131500,5.075333,4.912167,1日、10日均线金叉；,0.078934,0.078995,-0.000122,死叉,44.311262,52.258397,28.416991,,5.113000,5.503448,4.722552,58.333333,56.944444,52.143384,53.409299,54.746877,0.038760,0.453242
sz000656,金科股份,2016-12-06,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.150000,5.270000,5.130000,5.160000,29.344092,5.160000,0.013752,67901377.000000,351301334.140000,0.018736,18700574340.240002,27588808510.560001,0.000000,0.000000,17.992259,1.044249,6.063626,1.661675,5.324000,5.211000,5.113000,5.074667,4.896167,1日、20日均线金叉；,0.081026,0.079011,0.004031,,45.722212,56.231965,24.702706,,5.097500,5.500102,4.694898,58.333333,56.944444,47.974833,51.040058,53.409826,0.027505,0.354176
sz000656,金科股份,2016-12-05,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.110000,5.220000,5.050000,5.090000,28.946013,5.090000,-0.048598,113081003.000000,580133338.050000,0.031202,18446884378.259998,27214541728.439999,0.000000,0.000000,17.748178,1.030083,5.981367,1.639133,5.266000,5.209000,5.097500,5.071333,4.881333,1日、5日均线死叉；1日、10日均线死叉；1日、20日均线死叉；,0.090663,0.078507,0.024313,,52.093956,61.486842,33.308185,,5.086000,5.504064,4.667936,50.000000,56.944444,44.446397,48.958178,52.226202,0.031776,0.546375
sz000656,金科股份,2016-12-02,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.490000,5.550000,5.310000,5.350000,30.424592,5.350000,-0.054770,185050841.000000,1003257544.510000,0.051061,19389161379.900002,28604675490.599998,0.000000,0.000000,18.654765,1.082701,6.286899,1.722861,5.272000,5.209000,5.086000,5.068667,4.868333,,0.108772,0.075468,0.066610,,65.374977,66.183284,63.758362,死叉,5.063500,5.478835,4.648165,58.333333,59.722222,56.255874,57.246139,57.418547,0.042403,0.940379
sz000656,金科股份,2016-12-01,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.490000,5.790000,5.420000,5.660000,32.187512,5.660000,0.055970,414928472.000000,2311430549.550000,0.114490,20512645497.240002,30262142668.560001,0.000000,0.000000,19.735695,1.145436,6.651186,1.822690,5.242000,5.181000,5.063500,5.055667,4.853000,20日、30日均线金叉；,0.103831,0.067141,0.073380,,71.466720,66.587438,81.225286,金叉,5.028500,5.359410,4.697590,58.333333,61.111111,76.434439,70.242517,64.777274,0.069030,2.248828
sz000656,金科股份,2016-11-30,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.360000,5.360000,5.240000,5.360000,30.481460,5.360000,0.100616,177621608.000000,951138605.360000,0.049011,19425402803.040001,28658142173.759998,1.000000,0.000000,18.689634,1.084724,6.298650,1.726081,5.144000,5.123000,5.028500,5.036667,4.831500,1日、5日均线金叉；1日、10日均线金叉；1日、20日均线金叉；1日、30日均线金叉；,0.064451,0.057969,0.012964,金叉,64.114974,64.147797,64.049330,,5.010000,5.314961,4.705039,58.333333,61.111111,66.843243,62.738205,60.026072,0.024641,1.536277
sz000656,金科股份,2016-11-29,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.090000,5.100000,4.850000,4.870000,27.694909,4.870000,-0.048828,144147085.000000,714642179.360000,0.039774,17649573069.180000,26038274698.919998,0.000000,0.000000,16.981066,0.985561,5.722841,1.568286,5.098000,5.094000,5.010000,5.028667,4.815833,1日、10日均线死叉；1日、20日均线死叉；1日、30日均线死叉；,0.043795,0.056348,-0.025107,死叉,46.172461,64.164208,10.188969,,5.028000,5.330101,4.725899,58.333333,61.111111,25.662004,40.134671,49.326924,0.048828,1.433649
sz000656,金科股份,2016-11-28,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.200000,5.220000,5.110000,5.120000,29.116619,5.120000,-0.015385,62168644.000000,319852529.140000,0.017154,18555608647.680000,27374941777.919998,0.000000,0.000000,17.852784,1.036155,6.016621,1.648794,5.152000,5.116000,5.028000,5.038667,4.810167,1日、5日均线死叉；,0.066684,0.059487,0.014395,,66.985965,73.160081,54.637733,死叉,5.019500,5.324683,4.714317,58.333333,59.722222,54.376514,56.030972,56.754227,0.021154,0.719981
sz000656,金科股份,2016-11-25,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.150000,5.290000,5.130000,5.200000,29.571566,5.200000,0.005803,123678191.000000,643622330.860000,0.034126,18845540032.799999,27802675243.200001,0.000000,0.000000,18.131734,1.052344,6.110631,1.674556,5.146000,5.100000,5.019500,5.042333,4.802500,,0.069475,0.057687,0.023576,,79.789292,76.247139,86.873599,,5.006500,5.305507,4.707493,66.666667,56.944444,77.502123,63.396485,59.501763,0.030948,1.453912
sz000656,金科股份,2016-11-24,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.100000,5.170000,5.080000,5.170000,29.400961,5.170000,0.007797,70475627.000000,360789153.720000,0.019446,18736815763.380001,27642275193.720001,0.000000,0.000000,18.027128,1.046273,6.075377,1.664896,5.120000,5.068000,5.006500,5.041667,4.787833,10日、30日均线金叉；,0.063881,0.054740,0.018282,,81.846101,74.476063,96.586177,,5.002000,5.292843,4.711157,66.666667,52.777778,74.053822,61.664189,58.784710,0.017544,0.961936
sz000656,金科股份,2016-11-23,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.150000,5.210000,5.080000,5.130000,29.173487,5.130000,-0.001946,102258563.000000,526827921.510000,0.028216,18591850070.820000,27428408461.080002,0.000000,0.000000,17.887653,1.038178,6.028372,1.652014,5.102000,5.041000,5.002000,5.046333,4.776667,,0.058866,0.052455,0.012823,,78.651504,70.791044,94.372424,,5.006500,5.309110,4.703890,58.333333,48.611111,68.728144,59.310598,57.830668,0.025292,1.418767
sz000656,金科股份,2016-11-22,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.090000,5.180000,5.060000,5.140000,29.230355,5.140000,0.009823,73157339.000000,374338187.560000,0.020186,18628091493.959999,27481875144.240002,0.000000,0.000000,17.922522,1.040202,6.040123,1.655235,5.090000,5.015000,5.006500,5.054667,4.761833,10日、20日均线金叉；,0.055682,0.050852,0.009660,,78.503571,66.860813,101.789087,,5.002500,5.303780,4.701220,58.333333,47.222222,71.798403,60.156975,58.153175,0.023576,1.120849
sz000656,金科股份,2016-11-21,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.060000,5.090000,5.030000,5.090000,28.946013,5.090000,0.003945,55759331.000000,281893002.980000,0.015386,18446884378.259998,27214541728.439999,0.000000,0.000000,17.748178,1.030083,5.981367,1.639133,5.080000,4.986000,5.002500,5.070000,4.744500,1日、30日均线金叉；5日、30日均线金叉；,0.049790,0.049645,0.000291,金叉,73.469643,61.039434,98.330060,,4.998500,5.301215,4.695785,50.000000,44.444444,65.348537,57.368660,57.004246,0.011834,0.700602
sz000656,金科股份,2016-11-18,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.070000,5.120000,5.030000,5.070000,28.832277,5.070000,-0.001969,64670865.000000,328499985.170000,0.017844,18374401531.980000,27107608362.119999,0.000000,0.000000,17.678441,1.026036,5.957865,1.632692,5.054000,4.963000,4.998500,5.082000,4.724167,,0.046637,0.049608,-0.005943,,68.775893,54.824330,96.679018,,4.993000,5.297132,4.688868,41.666667,41.666667,62.488867,56.245919,56.546918,0.017717,0.782810
sz000656,金科股份,2016-11-17,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.040000,5.110000,5.020000,5.080000,28.889145,5.080000,0.001972,64532089.000000,327453563.980000,0.017806,18410642955.119999,27161075045.279999,0.000000,0.000000,17.713309,1.028060,5.969616,1.635913,5.016000,4.946000,4.993000,5.090000,4.705833,5日、20日均线金叉；,0.043969,0.050351,-0.012763,,64.592411,47.848549,98.080135,,4.993500,5.317091,4.669909,41.666667,41.666667,64.714134,56.933142,56.836597,0.017751,0.797205
sz000656,金科股份,2016-11-16,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,5.110000,5.130000,5.000000,5.070000,28.832277,5.070000,-0.003929,68228376.000000,344354715.160000,0.018826,18374401531.980000,27107608362.119999,0.000000,0.000000,17.678441,1.026036,5.957865,1.632692,4.980000,4.934000,4.993500,5.081667,4.689000,1日、30日均线死叉；,0.038907,0.051946,-0.026079,,56.888616,39.476618,91.712613,,4.996000,5.350850,4.641150,41.666667,41.666667,63.634983,56.445330,56.623647,0.025540,0.848900
sz000656,金科股份,2016-11-15,房地产,成渝特区；太阳能；页岩气；风能；装饰园林；民营银行,重庆,4.970000,5.150000,4.920000,5.090000,28.946013,5.090000,0.026210,144748012.000000,733420472.680000,0.039940,18446884378.259998,27214541728.439999,0.000000,0.000000,17.748178,1.030083,5.981367,1.639133,4.940000,4.926000,4.996000,5.059000,4.673833,1日、20日均线金叉；1日、30日均线金叉；5日、10日均线金叉；,0.032898,0.055206,-0.044616,,46.761496,30.770619,78.743251,,5.000000,5.401198,4.598802,50.000000,41.666667,67.052786,57.642324,57.164193,0.046371,1.751524
