date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-13 15:00:00,16.55,16.57,16.56,16.53,4785.0,0.01,0.06,16.574,16.565,16.5405,2409.89,3552.8,3749.75,0.53
2016-10-13 14:30:00,16.6,16.63,16.55,16.53,2939.12,-0.05,-0.3,16.576,16.55,16.5435,2033.82,3363.5,3723.15,0.33
2016-10-13 14:00:00,16.56,16.61,16.6,16.55,1234.0,0.04,0.24,16.59,16.536,16.545,2648.67,3333.2,3808.25,0.14
2016-10-13 13:30:00,16.6,16.63,16.56,16.55,1143.0,-0.04,-0.24,16.61,16.524,16.5465,4136.07,3510.5,4430.6,0.13
2016-10-13 11:30:00,16.57,16.65,16.6,16.56,1948.34,0.03,0.18,16.588,16.517,16.543,4669.97,3824.0,4889.45,0.22
2016-10-13 11:00:00,16.62,16.62,16.57,16.55,2904.66,-0.05,-0.3,16.556,16.499,16.5425,4695.7,4497.26,4972.08,0.32
2016-10-13 10:30:00,16.7,16.72,16.62,16.6,6013.34,-0.08,-0.48,16.524,16.503,16.5465,4693.17,4975.1,4936.05,0.67
2016-10-13 10:00:00,16.52,16.75,16.7,16.41,8671.0,0.18,1.09,16.482,16.499,16.5455,4017.73,4678.36,4850.97,0.96
2016-10-12 14:30:00,16.43,16.46,16.45,16.39,3812.51,0.02,0.12,16.438,16.487,16.545,2884.93,4097.06,4518.53,0.42
2016-10-12 14:00:00,16.41,16.47,16.44,16.4,2077.0,0.03,0.18,16.446,16.499,16.5575,2978.03,3949.11,4711.05,0.23
2016-10-12 13:30:00,16.41,16.42,16.41,16.35,2892.0,0.0,0.0,16.442,16.516,16.568,4298.83,3946.71,5040.25,0.32
2016-10-12 11:30:00,16.47,16.47,16.41,16.4,2636.13,-0.06,-0.36,16.482,16.537,16.5765,5257.03,4082.81,6638.05,0.29
2016-10-12 11:00:00,16.49,16.5,16.48,16.45,3007.0,-0.01,-0.06,16.516,16.554,16.539,5339.0,4283.3,6696.6,0.33
2016-10-12 10:30:00,16.42,16.52,16.49,16.39,4278.0,0.07,0.43,16.536,16.569,16.4965,5309.19,5350.7,6610.55,0.48
2016-10-12 10:00:00,16.58,16.58,16.42,16.35,8681.0,-0.16,-0.97,16.552,16.569,16.456,4920.19,5954.9,6474.25,0.96
