date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-11-25,16.37,24.84,24.7,16.3,3390185.0,8.47,51.74,18.642,17.694,16.409,1950926.9,2791919.05,2507485.33,376.69
2016-10-31,16.5,16.96,16.37,15.95,588608.12,0.49,3.09,17.138,16.69,15.655,1870318.05,2669912.8,2427239.91,65.4
2016-09-30,18.43,18.71,15.88,15.5,924933.5,-2.64,-14.26,17.04,15.584,15.584,2237401.32,2611103.09,2611103.09,102.77
2016-08-31,17.59,18.64,18.52,16.83,1528580.12,0.78,4.4,17.282,15.551,15.551,2797855.17,2798455.26,2798455.26,169.84
2016-07-29,17.25,20.75,17.74,16.36,3322327.75,0.56,3.26,16.94,15.18,15.18,3227159.05,2957189.66,2957189.66,369.15
2016-06-30,15.8,18.34,17.18,14.81,2987140.75,1.3,8.19,16.746,14.814,14.814,3632911.2,2905027.07,2905027.07,331.9
2016-05-31,17.15,19.61,15.88,14.46,2424024.5,-1.21,-7.08,16.242,14.42,14.42,3469507.55,2891341.46,2891341.46,269.34
2016-04-29,16.88,20.68,17.09,16.7,3727202.75,0.28,1.67,14.128,14.128,14.128,2984804.85,2984804.85,2984804.85,414.13
2016-03-31,17.0,20.5,16.81,15.8,3675099.5,0.04,0.24,13.388,13.388,13.388,2799205.38,2799205.38,2799205.38,408.34
2016-02-29,15.9,23.2,16.77,14.61,5351088.5,2.11,14.39,12.247,12.247,12.247,2507240.67,2507240.67,2507240.67,594.57
2016-01-29,5.84,20.19,14.66,5.84,2170122.5,9.35,176.08,9.985,9.985,9.985,1085316.75,1085316.75,1085316.75,241.12
2015-12-31,5.31,5.31,5.31,5.31,511.0,1.62,43.9,5.31,5.31,5.31,511.0,511.0,511.0,0.06
