date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-11-25,19.12,24.84,24.7,18.97,1357161.5,5.91,31.22,19.144,17.78,17.876,726369.95,443190.18,483161.51,150.8
2016-11-18,17.88,19.56,18.93,17.5,841542.62,0.88,4.88,17.452,17.105,17.504,482879.94,339532.12,452655.53,93.5
2016-11-11,17.37,18.84,18.05,17.11,822404.19,0.66,3.79,16.946,16.995,17.397,356017.82,304500.61,455912.93,91.38
2016-11-04,16.63,17.68,17.39,16.2,401047.22,0.74,4.44,16.512,17.0,17.286,224901.83,256211.46,436624.52,44.56
2016-10-28,16.26,16.8,16.65,16.19,209694.2,0.41,2.52,16.402,17.026,17.258,174687.85,250642.94,442282.91,23.3
2016-10-21,16.47,16.5,16.24,15.95,139711.48,-0.16,-0.98,16.416,17.093,17.255,160010.42,252764.46,466474.2,15.52
2016-10-14,16.5,16.96,16.4,16.26,207232.0,0.52,3.27,16.758,17.19,17.214,196184.3,266074.56,480319.73,23.03
2016-09-30,16.8,16.8,15.88,15.5,166824.27,-0.96,-5.7,17.044,17.324,17.15,252983.4,286846.4,490780.83,18.54
2016-09-23,16.7,17.1,16.84,16.65,149977.31,0.12,0.72,17.488,17.533,17.139,287521.09,360863.29,515543.34,16.66
2016-09-14,17.45,17.55,16.72,16.67,136307.05,-1.23,-6.85,17.65,17.739,17.252,326598.02,431582.85,543510.26,15.15
2016-09-09,17.85,18.51,17.95,17.41,320580.88,0.12,0.67,17.77,17.971,17.27,345518.5,523132.83,561003.6,35.62
2016-09-02,17.99,18.71,17.83,17.62,491227.5,-0.27,-1.49,17.622,17.902,17.247,335964.81,565778.95,593969.01,54.58
2016-08-26,17.55,18.46,18.1,16.88,339512.72,0.45,2.55,17.604,17.799,17.298,320709.39,607325.25,621199.42,37.72
2016-08-19,17.32,18.17,17.65,17.15,345361.94,0.33,1.91,17.578,17.571,17.303,434205.48,617037.57,647952.69,38.37
2016-08-12,17.17,17.79,17.32,16.87,230909.44,0.11,0.64,17.828,17.49,17.345,536567.68,633922.88,666021.33,25.66
2016-08-05,17.59,17.7,17.21,16.83,272812.47,-0.53,-2.99,18.172,17.416,17.311,700747.17,680183.94,694115.01,30.31
2016-07-29,17.95,18.38,17.74,16.36,414950.38,-0.23,-1.28,18.182,17.237,17.308,795593.08,694564.9,717498.1,46.11
2016-07-22,18.81,20.75,17.97,17.9,906993.19,-0.93,-4.92,17.994,16.976,17.237,893941.1,694715.27,734346.4,100.78
2016-07-15,18.82,19.61,18.9,18.07,857172.94,-0.14,-0.73,17.564,16.745,17.213,799869.65,670223.38,747749.36,95.24
2016-07-08,17.18,19.83,19.04,17.0,1051806.88,1.78,10.31,17.152,16.764,17.199,731278.08,655437.67,789448.29,116.87
2016-07-01,16.5,18.34,17.26,16.36,747042.0,0.46,2.74,16.66,16.569,17.188,659620.71,598874.37,825322.8,83.0
2016-06-24,15.83,17.87,16.8,15.44,906690.5,0.98,6.2,16.292,16.592,17.175,593536.72,622159.08,875445.94,100.74
2016-06-17,16.18,16.39,15.82,14.81,436635.94,-1.02,-6.06,15.958,16.797,17.068,495489.44,635073.6,898432.35,48.52
2016-06-08,16.59,17.85,16.84,16.4,514215.06,0.26,1.57,15.926,17.034,17.178,540577.12,678867.8,915892.38,57.14
2016-06-03,15.18,16.89,16.58,14.81,693520.06,1.16,7.52,16.376,17.199,17.025,579597.25,698119.78,890986.58,77.06
2016-05-27,15.1,16.18,15.42,14.56,416622.03,0.29,1.92,16.478,17.206,16.624,538128.02,708046.08,856398.98,46.29
2016-05-20,15.67,16.24,15.13,14.46,416454.12,-0.53,-3.38,16.892,17.379,16.118,650781.44,740431.3,835593.43,46.27
2016-05-13,18.39,18.44,15.66,15.02,662074.31,-3.43,-17.97,17.636,17.498,16.17,774657.76,773977.53,857653.39,73.56
2016-05-06,17.15,19.61,19.09,16.96,709315.75,2.0,11.7,18.142,17.681,16.198,817158.49,825275.35,868518.9,78.81
2016-04-29,17.48,17.95,17.09,16.83,486173.88,-0.4,-2.29,18.022,17.634,16.028,816642.31,923458.92,877883.79,54.02
2016-04-22,18.58,20.68,17.49,16.7,979889.12,-1.36,-7.21,17.934,17.806,15.962,877964.14,1051771.24,902365.66,108.88
2016-04-15,18.31,19.98,18.85,17.85,1035835.75,0.66,3.63,17.866,17.758,15.86,830081.16,1128732.79,897197.43,115.09
2016-04-08,18.43,19.7,18.19,17.7,874577.94,-0.3,-1.62,17.36,17.339,15.646,773297.29,1161791.11,887294.69,97.18
2016-04-01,16.7,18.49,18.49,16.0,706734.88,1.84,11.05,17.22,17.322,15.451,833392.2,1152916.95,888272.9,78.53
2016-03-25,17.4,17.88,16.65,16.32,792783.0,-0.5,-2.92,17.246,16.851,15.198,1030275.53,1083853.38,903401.07,88.09
2016-03-18,16.51,17.5,17.15,15.94,740474.25,0.83,5.09,17.678,16.041,15.065,1225578.35,1004751.88,913457.26,82.27
2016-03-11,17.5,18.23,16.32,15.8,751916.38,-1.17,-6.69,17.65,14.857,14.857,1427384.42,930755.56,930755.56,83.55
2016-03-04,18.0,20.5,17.49,16.62,1175052.5,-1.13,-6.07,17.318,14.694,14.694,1550284.92,950626.58,950626.58,130.56
2016-02-26,18.91,23.2,18.62,17.61,1691151.5,-0.19,-1.01,17.424,14.345,14.345,1472441.7,922573.34,922573.34,187.91
2016-02-19,15.42,20.44,18.81,15.42,1769297.12,1.8,10.58,16.456,13.734,13.734,1137431.24,812776.46,812776.46,196.59
2016-02-05,15.9,18.82,17.01,14.61,1749504.62,2.35,16.03,14.404,12.888,12.888,783925.42,653356.35,653356.35,194.39
2016-01-29,18.49,18.96,14.66,13.33,1366418.88,-3.36,-18.65,12.064,12.064,12.064,434126.69,434126.69,434126.69,151.82
2016-01-22,15.16,20.19,18.02,15.16,785836.38,4.24,30.77,11.415,11.415,11.415,201053.65,201053.65,201053.65,87.32
2016-01-15,9.41,13.78,13.78,9.41,16099.2,5.23,61.17,9.213,9.213,9.213,6126.07,6126.07,6126.07,1.79
2016-01-08,5.84,8.55,8.55,5.84,1768.0,3.24,61.02,6.93,6.93,6.93,1139.5,1139.5,1139.5,0.2
2015-12-31,5.31,5.31,5.31,5.31,511.0,1.62,43.9,5.31,5.31,5.31,511.0,511.0,511.0,0.06
