date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-10-13 15:00:00,2208.99,2211.27,2208.41,2206.56,1300940.0,-0.58,-0.03,2208.61,2206.71,2206.96,992934.0,1104250.0,1103200.0
2016-10-13 14:30:00,2212.68,2216.04,2208.93,2208.1,1031400.0,-3.75,-0.17,2207.67,2206.86,2206.78,898359.0,1042610.0,1086730.0
2016-10-13 14:00:00,2206.31,2215.29,2212.81,2205.41,1124900.0,6.5,0.29,2206.08,2206.7,2206.58,961437.0,1015860.0,1093220.0
2016-10-13 13:30:00,2206.49,2208.63,2206.42,2206.24,781355.0,-0.07,0.0,2205.11,2206.33,2206.06,1106800.0,1001650.0,1134380.0
2016-10-13 11:30:00,2203.81,2208.56,2206.48,2203.64,726077.0,2.67,0.12,2204.88,2206.85,2206.1,1186530.0,1082080.0,1162330.0
2016-10-13 11:00:00,2200.98,2204.01,2203.73,2200.9,828060.0,2.75,0.12,2204.81,2206.84,2206.05,1215570.0,1249690.0,1177820.0
2016-10-13 10:30:00,2207.98,2209.27,2200.97,2200.59,1346790.0,-7.01,-0.32,2206.06,2207.48,2206.03,1186860.0,1290570.0,1183060.0
2016-10-13 10:00:00,2211.75,2215.53,2207.95,2207.87,1851700.0,-3.8,-0.17,2207.32,2207.81,2206.2,1070270.0,1240620.0,1177490.0
2016-10-12 14:30:00,2206.03,2206.13,2205.29,2200.33,1180040.0,-0.74,-0.03,2207.54,2207.34,2206.05,896500.0,1145490.0,1164240.0
2016-10-12 14:00:00,2210.02,2212.33,2206.11,2205.38,871284.0,-3.91,-0.18,2208.83,2207.07,2205.3,977634.0,1115400.0,1174840.0
2016-10-12 13:30:00,2207.51,2210.42,2209.96,2207.29,684463.0,2.45,0.11,2208.87,2207.2,2203.75,1283810.0,1102140.0,1197530.0
2016-10-12 11:30:00,2208.94,2209.3,2207.28,2205.21,763877.0,-1.66,-0.08,2208.9,2206.69,2201.83,1394290.0,1130840.0,1258510.0
2016-10-12 11:00:00,2211.71,2212.1,2209.07,2206.93,982837.0,-2.64,-0.12,2208.31,2206.46,2198.97,1410970.0,1170590.0,1273310.0
2016-10-12 10:30:00,2206.42,2216.52,2211.71,2206.42,1585710.0,5.29,0.24,2207.14,2205.79,2196.09,1394490.0,1267100.0,1256790.0
2016-10-12 10:00:00,2202.36,2210.43,2206.31,2198.89,2402180.0,3.95,0.18,2205.31,2205.35,2192.96,1253170.0,1242580.0,1201940.0
2016-10-11 15:00:00,2204.19,2210.18,2210.11,2204.17,1236830.0,5.92,0.27,2205.53,2205.26,2190.04,920464.0,1105950.0,1104620.0
2016-10-11 14:30:00,2203.06,2206.99,2204.35,2202.73,847300.0,1.29,0.06,2204.48,2204.58,2186.75,867401.0,1075540.0,1071880.0
2016-10-11 14:00:00,2202.64,2204.8,2203.2,2201.62,900416.0,0.56,0.03,2204.61,2204.59,2183.87,930211.0,1114350.0,1059210.0
2016-10-11 13:30:00,2207.33,2207.57,2202.57,2202.57,879117.0,-4.76,-0.22,2204.45,2204.76,2181.34,1139720.0,1183000.0,1050250.0
2016-10-11 11:30:00,2204.81,2209.15,2207.44,2204.75,738656.0,2.63,0.12,2205.39,2203.53,2178.87,1231990.0,1234280.0,1054300.0
2016-10-11 11:00:00,2205.0,2206.03,2204.83,2202.77,971517.0,-0.17,-0.01,2204.98,2200.31,2175.81,1291450.0,1292920.0,1074930.0
2016-10-11 10:30:00,2202.47,2205.73,2205.02,2201.8,1161350.0,2.55,0.12,2204.69,2196.97,2173.09,1283680.0,1386180.0,1058510.0
2016-10-11 10:00:00,2207.43,2207.94,2202.37,2201.31,1947960.0,-5.06,-0.23,2204.56,2191.47,2170.21,1298490.0,1376030.0,1027140.0
2016-10-10 15:00:00,2205.74,2208.01,2207.29,2202.45,1340460.0,1.55,0.07,2205.07,2186.39,2167.53,1226270.0,1246480.0,952197.0
2016-10-10 14:30:00,2203.44,2206.61,2205.4,2202.11,1035940.0,1.96,0.09,2201.67,2180.56,2164.78,1236580.0,1161300.0,918549.0
2016-10-10 14:00:00,2204.38,2205.41,2203.38,2202.97,932710.0,-1.0,-0.05,2195.63,2174.82,2162.21,1294390.0,1103280.0,907320.0
2016-10-10 13:30:00,2205.16,2207.74,2204.38,2202.31,1235390.0,-0.78,-0.04,2189.25,2168.93,2159.66,1488680.0,1068230.0,903170.0
2016-10-10 11:30:00,2190.35,2205.08,2204.89,2189.83,1586850.0,14.54,0.66,2178.37,2163.15,2156.75,1453580.0,1004070.0,895150.0
2016-10-10 11:00:00,2175.06,2190.67,2190.29,2174.96,1391990.0,15.23,0.7,2167.72,2157.93,2153.46,1266680.0,917513.0,867977.0
2016-10-10 10:30:00,2171.5,2178.76,2175.22,2170.86,1325030.0,3.72,0.17,2159.46,2154.21,2150.98,1086030.0,874312.0,836105.0
2016-10-10 10:00:00,2165.85,2172.51,2171.46,2163.57,1904150.0,5.61,0.26,2154.02,2151.32,2149.14,912160.0,856933.0,799375.0
2016-09-30 15:00:00,2151.75,2152.43,2150.01,2147.24,1059860.0,-1.74,-0.08,2148.6,2149.21,2147.41,647769.0,730838.0,731088.0
2016-09-30 14:30:00,2148.63,2154.1,2151.62,2148.45,652379.0,2.99,0.14,2147.93,2148.95,2146.6,554572.0,678238.0,705164.0
2016-09-30 14:00:00,2148.15,2150.14,2148.98,2147.8,488707.0,0.83,0.04,2148.13,2148.67,2145.75,568344.0,657918.0,707663.0
2016-09-30 13:30:00,2144.69,2148.64,2148.02,2144.69,455699.0,3.33,0.16,2148.97,2149.01,2145.2,662599.0,675797.0,727905.0
2016-09-30 11:30:00,2146.75,2148.27,2144.38,2143.55,582202.0,-2.37,-0.11,2148.62,2149.6,2144.58,801707.0,711363.0,773044.0
2016-09-30 11:00:00,2152.64,2153.14,2146.65,2146.39,593871.0,-5.99,-0.28,2149.82,2150.39,2144.37,813908.0,738113.0,809269.0
2016-09-30 10:30:00,2153.12,2154.26,2152.64,2150.23,721243.0,-0.48,-0.02,2149.96,2150.34,2143.49,801905.0,786225.0,823678.0
2016-09-30 10:00:00,2144.47,2153.5,2153.15,2143.62,959978.0,8.68,0.4,2149.2,2148.99,2141.76,747492.0,818441.0,819976.0
2016-09-29 15:00:00,2150.4,2152.67,2146.28,2145.84,1151240.0,-4.12,-0.19,2149.05,2147.75,2140.21,688996.0,797898.0,796244.0
2016-09-29 14:30:00,2147.36,2150.79,2150.37,2146.79,643206.0,3.01,0.14,2150.59,2146.97,2138.7,621018.0,741817.0,774635.0
2016-09-29 14:00:00,2148.73,2149.8,2147.36,2147.36,533856.0,-1.37,-0.06,2150.97,2145.6,2137.4,662318.0,731338.0,769131.0
2016-09-29 13:30:00,2152.27,2152.91,2148.84,2148.39,449178.0,-3.43,-0.16,2150.72,2144.26,2136.22,770545.0,732091.0,796038.0
2016-09-29 11:30:00,2154.35,2155.28,2152.38,2151.89,667497.0,-1.97,-0.09,2148.78,2142.83,2135.43,889390.0,757408.0,848731.0
2016-09-29 11:00:00,2152.32,2154.78,2153.99,2149.76,811355.0,1.67,0.08,2146.45,2141.4,2134.0,906799.0,780014.0,907901.0
2016-09-29 10:30:00,2146.11,2152.59,2152.27,2145.16,849706.0,6.16,0.29,2143.35,2139.55,2133.27,862616.0,834726.0,912043.0
