date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-11-23,2182.1,2191.26,2165.71,2163.0,15096672.0,-11.94,-0.55,2163.392,2163.085,2160.636,10359779.6,11626456.6,10972075.7
2016-11-22,2156.52,2177.65,2177.65,2146.62,11125462.0,25.05,1.16,2166.744,2158.898,2162.39,10481418.8,11237593.2,10773079.35
2016-11-21,2156.46,2162.37,2152.6,2147.05,8475311.0,-5.36,-0.25,2167.074,2156.163,2162.557,10974572.2,11015917.1,10789155.25
2016-11-18,2164.71,2170.79,2157.96,2155.23,7756542.0,-5.08,-0.23,2168.892,2153.933,2164.59,12044298.0,11097504.2,10847614.9
2016-11-17,2176.12,2176.12,2163.04,2157.54,9344911.0,-19.43,-0.89,2166.722,2152.66,2165.938,12961004.0,11377644.0,10940890.05
2016-11-16,2187.5,2208.98,2182.47,2182.12,15704868.0,3.17,0.14,2162.778,2151.674,2167.693,12893133.6,11579010.3,10955092.65
2016-11-15,2161.57,2179.3,2179.3,2152.38,13591229.0,17.61,0.81,2151.052,2148.067,2166.962,11993767.6,11119462.6,10646488.0
2016-11-14,2146.83,2175.25,2161.69,2146.83,13823940.0,14.58,0.68,2145.252,2146.68,2167.709,11057262.0,10805458.0,10420953.5
2016-11-11,2143.58,2147.11,2147.11,2125.49,12340072.0,3.79,0.18,2138.974,2148.759,2170.053,10150710.4,10357199.3,10185448.8
2016-11-10,2143.56,2149.09,2143.32,2138.94,9005559.0,19.48,0.92,2138.598,2152.497,2173.181,9794284.0,10262152.7,10054865.5
2016-11-09,2150.62,2154.85,2123.84,2098.56,11208038.0,-26.46,-1.23,2140.57,2158.186,2176.558,10264887.0,10317694.8,10044761.95
2016-11-08,2138.45,2154.57,2150.3,2136.25,8908701.0,20.0,0.94,2145.082,2165.882,2180.79,10245157.6,10308565.5,10031249.8
2016-11-07,2141.3,2145.82,2130.3,2126.95,9291182.0,-14.93,-0.7,2148.109,2168.952,2180.77,10553654.0,10562393.4,9867834.3
2016-11-04,2151.92,2168.34,2145.23,2142.41,10557940.0,-7.95,-0.37,2158.544,2175.247,2181.564,10563688.2,10597725.6,9717526.3
2016-11-03,2137.13,2167.93,2153.18,2135.28,11358574.0,6.78,0.32,2166.397,2179.215,2181.284,10730021.4,10504136.1,9515093.93
2016-11-02,2170.81,2171.66,2146.4,2145.07,11109391.0,-30.05,-1.38,2175.802,2183.712,2180.665,10370502.6,10331175.0,9311040.93
2016-10-28,2182.559,2192.902,2165.433,2165.03,10451183.0,-17.044,-0.78,2186.683,2185.858,2179.49,10371973.4,10173513.4,9189099.78
2016-10-27,2182.905,2184.317,2182.477,2171.242,9341353.0,-2.016,-0.09,2189.795,2188.737,2179.044,10571132.8,10036449.0,9023495.48
2016-10-26,2203.478,2204.842,2184.493,2179.756,11389606.0,-15.714,-0.71,2191.951,2191.346,2178.341,10631763.0,10013698.3,8927719.38
2016-10-25,2202.792,2207.807,2200.207,2196.568,9560980.0,-0.596,-0.03,2192.034,2193.865,2177.223,10278250.8,9847578.3,8699938.38
2016-10-24,2184.11,2204.357,2200.803,2176.924,11116745.0,19.807,0.91,2191.621,2194.931,2175.134,10291847.4,9771829.1,8533208.53
2016-10-21,2196.845,2202.487,2180.996,2167.829,11446980.0,-12.259,-0.56,2185.033,2195.697,2173.355,9975053.4,9753934.1,8333506.48
2016-10-20,2187.406,2199.064,2193.255,2184.35,9644504.0,8.345,0.38,2187.679,2192.588,2171.533,9501765.2,9173275.2,8167074.4
2016-10-19,2200.531,2201.162,2184.91,2180.468,9622045.0,-13.231,-0.6,2190.741,2187.881,2169.164,9395633.6,8837327.0,8106911.1
2016-10-18,2164.6,2198.141,2198.141,2164.6,9628963.0,30.279,1.4,2195.696,2183.353,2167.196,9416905.8,8526051.75,8247277.0
2016-10-17,2199.182,2200.471,2167.862,2160.005,9532775.0,-26.365,-1.2,2198.24,2177.619,2167.438,9251810.8,8290906.85,8308442.65
2016-10-14,2203.873,2203.873,2194.227,2178.913,9080539.0,-14.34,-0.65,2206.362,2173.123,2170.218,9532814.8,8204686.15,8308113.7
2016-10-13,2211.755,2216.091,2208.567,2200.524,9113846.0,-1.118,-0.05,2197.497,2169.351,2171.109,8844785.2,8010541.95,8458872.2
2016-10-12,2202.363,2216.521,2209.685,2198.889,9728406.0,-1.176,-0.05,2185.02,2165.336,2171.823,8279020.4,7841740.45,8652868.65
2016-10-11,2207.434,2210.861,2210.861,2201.31,8803488.0,2.392,0.11,2171.009,2160.581,2170.473,7635197.7,7552298.45,8605754.9
2016-10-10,2165.852,2208.469,2208.469,2163.405,10937795.0,58.568,2.72,2156.997,2155.338,2168.473,7330002.9,7294587.95,8675316.35
2016-09-30,2144.472,2154.4,2149.901,2143.343,5640391.0,3.717,0.17,2139.883,2151.012,2167.116,6876557.5,6913078.85,8593939.8
2016-09-29,2141.336,2155.416,2146.184,2140.978,6285022.0,6.556,0.31,2141.205,2150.478,2169.209,7176298.7,7160873.6,8759459.65
2016-09-28,2143.724,2143.724,2139.628,2132.547,6509292.5,-1.175,-0.06,2145.653,2150.446,2171.676,7404460.5,7376495.2,8904997.15
2016-09-27,2118.949,2140.803,2140.803,2112.702,7277514.0,17.903,0.84,2150.153,2151.04,2174.355,7469399.2,7968502.25,9110383.38
2016-09-26,2154.399,2161.764,2122.9,2122.9,8670568.0,-33.61,-1.56,2153.679,2157.256,2176.802,7259173.0,8325978.45,9362746.23
2016-09-23,2171.63,2173.494,2156.51,2156.036,7139097.0,-11.912,-0.55,2162.142,2167.313,2179.69,6949600.2,8411541.25,9547392.88
2016-09-22,2174.298,2178.532,2168.422,2166.615,7425831.0,6.291,0.29,2159.751,2172.867,2181.473,7145448.5,8907202.45,9787371.57
2016-09-21,2158.061,2170.085,2162.131,2157.38,6833986.0,3.699,0.17,2155.24,2178.309,2181.76,7348529.9,9463996.85,9860487.07
2016-09-20,2164.419,2167.641,2158.432,2153.939,6226383.0,-6.781,-0.31,2151.927,2180.365,2182.023,8467605.3,9659211.35,10076672.93
2016-09-19,2149.372,2174.402,2165.213,2149.372,7122704.0,20.656,0.96,2160.834,2181.608,2184.329,9392783.9,10056044.75,10270863.82
2016-09-14,2137.396,2156.976,2144.557,2131.714,8118338.5,-1.311,-0.06,2172.485,2183.219,2186.148,9873482.3,10274800.75,10526276.23
2016-09-13,2157.945,2165.577,2145.868,2139.339,8441238.0,0.305,0.01,2185.984,2187.939,2189.33,10668956.4,10358045.7,10736466.7
2016-09-12,2163.451,2179.982,2145.563,2145.031,12429363.0,-57.404,-2.61,2201.378,2192.905,2192.092,11579463.8,10433499.1,11015978.0
2016-09-09,2223.584,2228.537,2202.967,2202.967,10852276.0,-20.501,-0.92,2208.804,2197.669,2194.474,10850817.4,10252264.5,11289482.05
2016-09-08,2211.393,2223.468,2223.468,2207.115,9526196.0,11.415,0.52,2202.382,2196.347,2190.518,10719305.6,10399514.0,11117297.9
2016-09-07,2223.019,2232.121,2212.053,2208.833,12095709.0,-10.784,-0.48,2193.953,2192.067,2184.514,10676119.2,10683244.5,11068749.15
2016-09-06,2183.226,2225.255,2222.837,2161.925,12993775.0,40.143,1.84,2189.894,2190.078,2180.761,10047135.0,10667540.7,10927662.65
2016-09-05,2178.634,2199.654,2182.694,2178.094,8786131.0,11.837,0.55,2184.433,2185.21,2177.345,9287534.4,10256977.3,10793318.75
2016-09-02,2176.391,2187.694,2170.857,2160.115,10194717.0,-10.469,-0.48,2186.534,2183.681,2174.74,9653711.6,10494134.5,10772235.7
2016-09-01,2192.94,2201.284,2181.326,2181.326,9310264.0,-10.432,-0.48,2190.313,2187.051,2171.65,10079722.4,10485682.9,10663401.8
2016-08-31,2194.606,2198.251,2191.758,2175.839,8950788.0,-3.773,-0.17,2190.18,2189.078,2169.066,10690369.8,10777751.7,10653083.85
2016-08-30,2197.486,2210.397,2195.531,2193.07,9195772.0,2.331,0.11,2190.262,2190.721,2164.894,11287946.4,11114887.7,10595505.57
2016-08-29,2187.723,2209.252,2193.2,2183.811,10617017.0,3.451,0.16,2185.987,2191.278,2160.778,11226420.2,11598456.9,10513325.78
2016-08-26,2186.004,2211.628,2189.749,2182.106,12324771.0,9.089,0.42,2180.827,2191.279,2156.077,11334557.4,12326699.6,10534003.03
2016-08-25,2179.014,2183.729,2180.66,2152.113,12363501.0,-11.51,-0.53,2183.789,2184.688,2152.71,10891643.4,11835081.8,10428639.43
2016-08-24,2178.527,2204.798,2192.17,2176.347,11938671.0,18.012,0.83,2187.976,2176.962,2150.664,10865133.6,11454253.8,10524528.18
2016-08-23,2168.338,2186.736,2174.158,2160.296,8888141.0,6.758,0.31,2191.181,2171.445,2148.825,10941829.0,11187784.6,11040351.83
2016-08-22,2205.575,2213.41,2167.4,2167.4,11157703.0,-37.156,-1.69,2196.568,2169.479,2154.095,11970493.6,11329660.2,11218336.33
2016-08-19,2200.681,2211.062,2204.556,2194.111,10110201.0,2.962,0.14,2201.73,2165.799,2158.019,13318841.8,11050336.9,11280370.48
2016-08-18,2204.954,2213.304,2201.594,2191.933,12230952.0,-6.601,-0.3,2185.587,2156.249,2160.291,12778520.2,10841120.7,11449783.18
2016-08-17,2200.235,2218.289,2208.195,2195.367,12322148.0,7.099,0.32,2165.948,2149.055,2163.468,12043374.0,10528416.0,11565587.58
2016-08-16,2195.024,2211.007,2201.096,2192.969,14031464.0,7.885,0.36,2151.709,2139.066,2166.485,11433740.2,10076123.45,11697258.73
2016-08-15,2126.79,2200.918,2193.211,2112.25,17899444.0,69.37,3.27,2142.391,2130.278,2170.116,10688826.8,9428194.65,11759652.58
2016-08-12,2098.773,2123.865,2123.841,2097.909,7408593.0,20.446,0.97,2129.867,2120.875,2172.949,8781832.0,8741306.45,11580070.48
2016-08-11,2134.604,2139.195,2103.395,2103.395,8555221.0,-33.606,-1.57,2126.91,2120.732,2179.946,8903721.2,9022197.05,12093186.33
2016-08-10,2155.386,2164.625,2137.001,2136.831,9273979.0,-17.504,-0.81,2132.161,2124.367,2189.43,9013458.0,9594802.55,12671085.28
2016-08-09,2128.64,2154.505,2154.505,2128.218,10306897.0,23.911,1.12,2126.424,2126.205,2196.849,8718506.7,10892919.05,13390145.03
2016-08-08,2102.241,2130.594,2130.594,2083.98,8364470.0,21.539,1.02,2118.166,2138.71,2201.491,8167562.5,11107012.45,13808364.18
2016-08-05,2128.74,2129.328,2109.055,2107.438,8018039.0,-20.597,-0.97,2111.883,2150.239,2205.891,8700780.9,11510404.05,14214030.93
2016-08-04,2107.623,2133.176,2129.652,2102.272,9103905.0,21.338,1.01,2114.554,2164.334,2212.388,9140672.9,12058445.65,14590997.13
2016-08-03,2110.234,2117.617,2108.314,2096.731,7799222.5,-4.9,-0.23,2116.573,2177.881,2217.602,10176147.1,12602759.15,14975600.98
2016-08-02,2096.55,2114.953,2113.214,2094.116,7552176.0,14.035,0.67,2125.987,2193.903,2224.264,13067331.4,13318394.0,15272560.35
2016-08-01,2113.674,2118.09,2099.179,2066.175,11030562.0,-23.233,-1.09,2159.254,2209.954,2230.904,14046462.4,14091110.5,15701910.1
2016-07-29,2144.272,2147.194,2122.412,2109.132,10217499.0,-17.332,-0.81,2188.595,2225.023,2238.381,14320027.2,14418834.5,16039613.7
2016-07-28,2150.318,2166.603,2139.744,2109.868,14281276.0,-15.642,-0.73,2214.113,2239.16,2242.819,14976218.4,15164175.6,16262157.95
2016-07-27,2282.066,2284.283,2155.386,2138.781,22255144.0,-124.164,-5.45,2239.19,2254.494,2247.222,15029371.2,15747368.0,16445169.55
2016-07-26,2245.937,2279.55,2279.55,2245.937,12447831.0,33.665,1.5,2261.819,2267.492,2249.942,13569456.6,15887371.0,16254606.15
2016-07-25,2245.864,2264.438,2245.885,2235.446,12398386.0,-4.114,-0.18,2260.653,2264.272,2246.8,14135758.6,16509715.9,16793014.1
2016-07-22,2262.102,2269.551,2249.999,2248.303,13498455.0,-15.129,-0.67,2261.45,2261.543,2244.096,14517641.8,16917657.8,17224640.9
2016-07-21,2266.083,2289.668,2265.128,2259.202,14547040.0,-3.407,-0.15,2264.207,2260.443,2237.964,15352132.8,17123548.6,17545851.75
2016-07-20,2272.644,2288.647,2268.535,2268.527,14955571.0,-5.184,-0.23,2269.798,2257.322,2231.582,16465364.8,17348442.8,17660350.55
2016-07-19,2249.735,2273.719,2273.719,2236.996,15279341.0,23.848,1.06,2273.164,2254.625,2225.396,18205285.4,17226726.7,17623680.9
2016-07-18,2257.418,2268.789,2249.871,2234.209,14307802.0,-13.913,-0.61,2267.891,2251.855,2216.31,18883673.2,17312709.7,17662117.3
2016-07-15,2289.103,2293.085,2263.784,2260.163,17670910.0,-29.295,-1.28,2261.635,2251.739,2209.798,19317673.8,17660392.9,17542958.6
2016-07-14,2282.157,2295.588,2293.079,2273.421,20113200.0,7.71,0.34,2256.678,2246.479,2202.753,18894964.4,17360140.3,17440808.8
2016-07-13,2258.263,2299.859,2285.369,2250.64,23655174.0,38.015,1.69,2244.847,2239.95,2193.17,18231520.8,17142971.1,17288538.1
2016-07-12,2218.019,2247.354,2247.354,2182.03,18671280.0,28.766,1.3,2236.085,2232.392,2185.342,16248168.0,16621841.3,16994667.4
2016-07-11,2242.26,2252.664,2218.588,2216.568,16477805.0,-20.414,-0.91,2235.819,2229.327,2175.89,15741746.2,17076312.3,16695664.05
2016-07-08,2231.969,2257.318,2239.002,2220.205,15557363.0,5.08,0.23,2241.844,2226.649,2167.696,16003112.0,17531624.0,16789506.8
2016-07-07,2240.895,2247.584,2233.922,2212.414,16795982.0,-7.638,-0.34,2236.279,2215.485,2165.073,15825316.2,17968154.9,16765812.55
2016-07-06,2239.758,2246.73,2241.56,2229.266,13738410.0,-4.464,-0.2,2235.053,2205.842,2163.213,16054421.4,17972258.3,16647616.55
2016-07-05,2253.689,2259.287,2246.024,2229.001,16139171.0,-2.688,-0.12,2228.698,2196.167,2161.1,16995514.6,18020635.1,16773507.6
2016-07-04,2195.622,2254.15,2248.712,2193.844,17784634.0,37.535,1.7,2222.835,2180.765,2159.048,18410878.4,18011524.9,17115234.05
2016-07-01,2231.182,2241.628,2211.177,2203.933,14668384.0,-16.613,-0.75,2211.454,2167.857,2156.04,19060136.0,17425524.3,17040193.4
2016-06-30,2213.602,2233.279,2227.79,2206.805,17941508.0,18.002,0.81,2194.692,2159.028,2153.922,20110993.6,17521477.3,17316249.1
2016-06-29,2228.506,2238.353,2209.788,2203.489,18443876.0,-6.922,-0.31,2176.631,2146.391,2150.523,19890095.2,17434105.1,17493427.8
2016-06-28,2181.412,2221.462,2216.71,2173.532,23215990.0,24.904,1.14,2163.637,2138.292,2142.959,19045755.6,17367493.5,17119252.95
2016-06-27,2111.1,2194.128,2191.806,2110.603,21030922.0,64.442,3.03,2138.695,2122.452,2135.618,17612171.4,16315015.8,16548238.4
2016-06-24,2131.154,2157.941,2127.364,2060.196,19922672.0,-10.121,-0.47,2124.26,2108.742,2130.328,15790912.6,16047389.6,16167490.8
2016-06-23,2144.583,2153.58,2137.485,2115.839,16837016.0,-7.333,-0.34,2123.365,2114.66,2127.322,14931961.0,15563470.2,15836859.65
2016-06-22,2085.98,2144.818,2144.818,2085.65,14222178.0,52.817,2.52,2116.151,2120.585,2124.224,14978115.0,15322974.8,15610939.0
2016-06-21,2135.462,2153.228,2092.001,2083.692,16048069.0,-27.629,-1.3,2112.947,2126.033,2121.894,15689231.4,15526380.1,15596243.3
2016-06-20,2117.986,2127.677,2119.63,2088.286,11924628.0,-3.26,-0.15,2106.21,2137.33,2120.559,15017860.2,16218943.2,15315082.5
2016-06-17,2109.574,2154.517,2122.89,2105.238,15627914.0,21.474,1.02,2093.225,2144.223,2116.448,16303866.6,16654862.5,15335024.15
2016-06-16,2124.156,2137.183,2101.416,2097.346,17067786.0,-27.383,-1.29,2105.956,2148.816,2111.327,16194979.4,17111020.9,15167034.95
2016-06-15,2033.6,2143.453,2128.799,2031.667,17777760.0,70.485,3.42,2125.018,2154.654,2110.328,15667834.6,17552750.5,14990667.75
2016-06-14,2045.211,2070.151,2058.314,2032.437,12691213.0,3.607,0.18,2139.119,2147.626,2106.781,15363528.8,16871012.4,14572565.8
2016-06-13,2150.392,2165.283,2054.707,2054.707,18354660.0,-131.837,-6.03,2168.451,2148.783,2105.127,17420026.2,16781461.0,14353055.18
2016-06-08,2191.27,2201.526,2186.544,2166.965,15083478.0,-10.183,-0.46,2195.221,2151.913,2104.12,17005858.4,16287592.0,13894199.48
2016-06-07,2202.041,2204.184,2196.727,2181.295,14432062.0,-2.574,-0.12,2191.676,2139.984,2096.539,18027062.4,16110249.1,13609156.43
2016-06-06,2212.457,2219.275,2199.301,2181.985,16256231.0,-5.673,-0.26,2184.291,2127.863,2089.413,19437666.4,15898903.2,13270489.93
2016-06-03,2176.358,2236.578,2204.974,2175.815,22973700.0,16.416,0.75,2156.134,2117.756,2082.128,18378496.0,15666106.5,13069194.93
2016-06-02,2163.588,2188.558,2188.558,2160.251,16283821.0,19.738,0.91,2129.116,2103.788,2078.339,16142895.8,14411221.8,12723249.58
2016-06-01,2164.727,2188.884,2168.82,2163.049,20189498.0,9.02,0.42,2108.606,2088.673,2080.116,15569325.6,14015185.8,12449074.93
2016-05-31,2061.839,2160.527,2159.8,2060.141,21485082.0,101.282,4.92,2088.293,2073.838,2082.226,14193435.8,13223049.0,12123186.13
2016-05-30,2054.617,2083.83,2058.518,2033.665,10960379.0,-11.367,-0.55,2071.434,2066.002,2085.098,12360140.0,12428585.0,11776493.63
2016-05-27,2076.297,2090.168,2069.885,2065.374,11795699.0,-16.122,-0.77,2079.378,2065.936,2089.109,12953717.0,12274119.2,11629706.68
2016-05-26,2060.427,2086.49,2086.007,2019.297,13415970.0,18.754,0.91,2078.461,2061.47,2093.376,12679547.8,11924649.35,11546085.23
2016-05-25,2091.972,2111.26,2067.253,2062.64,13310049.0,-8.256,-0.4,2068.74,2056.326,2096.406,12461046.0,11500806.95,11399246.73
2016-05-24,2094.21,2094.21,2075.509,2061.517,12318603.0,-22.725,-1.08,2059.384,2053.093,2100.828,12252662.2,11108063.75,11179320.18
2016-05-23,2072.997,2107.049,2098.234,2072.997,13928264.0,32.933,1.59,2060.571,2050.965,2103.394,12497030.0,10642076.65,11041289.58
2016-05-20,2018.382,2065.301,2065.301,2013.532,10424853.0,27.898,1.37,2052.495,2046.501,2105.329,11594521.4,10472283.35,10868471.98
2016-05-19,2023.958,2076.484,2037.403,2023.958,12323461.0,16.928,0.84,2044.48,2052.89,2107.572,11169750.9,11035277.35,10986432.48
2016-05-18,2062.811,2062.811,2020.475,2000.526,12268130.0,-60.965,-2.93,2043.912,2071.559,2112.964,10540567.9,10882964.05,11453611.23
2016-05-17,2059.515,2107.731,2081.44,2036.884,13540442.0,23.583,1.15,2046.802,2090.614,2125.566,9963465.3,11023323.25,11490420.73
2016-05-16,2017.843,2057.857,2057.857,2008.54,9415721.0,32.634,1.61,2041.358,2104.193,2134.774,8787123.3,11124402.25,11528887.23
2016-05-13,2030.941,2058.656,2025.223,2013.863,8301000.5,-9.342,-0.46,2040.506,2112.281,2147.365,9350045.3,10985294.15,11784450.03
2016-05-12,2006.258,2039.318,2034.565,1975.065,9177546.0,-0.36,-0.02,2061.301,2125.281,2162.323,10900803.8,11167521.1,12286148.9
2016-05-11,2067.69,2073.834,2034.925,2032.296,9382617.0,-19.297,-0.94,2099.207,2136.486,2175.296,11225360.2,11297686.5,12916103.3
2016-05-10,2051.376,2067.617,2054.222,2044.281,7658732.0,0.625,0.03,2134.425,2148.563,2186.75,12083181.2,11250576.6,13300882.95
2016-05-09,2107.333,2107.333,2053.597,2045.122,12230331.0,-75.597,-3.55,2167.027,2155.824,2198.196,13461681.2,11440502.5,13915277.65
2016-05-06,2226.444,2235.959,2129.194,2129.194,16054793.0,-94.901,-4.27,2184.055,2164.157,2207.013,12620543.0,11264660.6,14201109.7
2016-05-05,2208.397,2226.553,2224.095,2198.762,10800328.0,13.077,0.59,2189.262,2162.254,2212.988,11434238.4,10937587.6,14413487.35
2016-05-04,2210.13,2233.591,2211.018,2206.264,13671722.0,-6.212,-0.28,2173.765,2154.368,2216.635,11370012.8,12024258.4,14919072.75
2016-05-03,2138.963,2217.23,2217.23,2126.874,14551232.0,78.492,3.67,2162.701,2160.518,2220.06,10417972.0,11957518.2,15223733.55
2016-04-29,2141.58,2162.194,2138.738,2138.738,8024640.0,-16.491,-0.77,2144.622,2165.355,2219.467,9419323.8,11933372.2,15281234.25
2016-04-28,2149.102,2158.492,2155.229,2108.268,10123270.0,8.618,0.4,2144.259,2182.448,2224.444,9908778.2,12583605.9,15786251.05
2016-04-27,2162.762,2176.333,2146.611,2142.462,10479200.0,-9.086,-0.42,2135.246,2199.365,2229.122,10440936.8,13404776.7,16150386.35
2016-04-26,2123.874,2155.697,2155.697,2119.379,8911518.0,28.863,1.36,2134.971,2214.105,2229.419,12678504.0,14534520.1,16334952.15
2016-04-25,2128.655,2130.06,2126.834,2083.635,9557991.0,-10.09,-0.47,2158.336,2224.937,2231.618,13497064.4,15351189.3,16702399.85
2016-04-22,2093.781,2136.924,2136.924,2090.95,10471912.0,26.762,1.27,2186.088,2240.568,2236.081,14447420.6,16390052.8,16982200.75
2016-04-21,2135.932,2160.258,2110.162,2106.968,12784063.0,-35.077,-1.64,2220.638,2249.869,2240.223,15258433.6,17137558.8,17528651.65
2016-04-20,2279.758,2284.104,2145.239,2119.424,21667036.0,-127.281,-5.6,2263.484,2263.721,2247.67,16368616.6,17889387.1,17842088.2
2016-04-19,2278.307,2289.049,2272.52,2253.592,13004320.0,6.927,0.31,2293.24,2278.902,2251.494,16390536.2,17813887.1,17811736.7
2016-04-18,2288.42,2288.42,2265.593,2249.339,14309772.0,-44.083,-1.91,2291.539,2279.602,2249.219,17205314.2,18489948.9,18438570.6
