date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-11-23,2137.13,2208.98,2165.71,2098.56,167588992.0,0.277,0.01,2159.043,2143.997,2358.883,212754272.0,255646790.4,325297441.6
2016-10-28,2165.852,2216.521,2165.433,2160.005,149399216.0,15.532,0.72,2171.459,2126.833,2367.356,248501472.0,267049526.4,341896668.8
2016-09-30,2192.94,2232.121,2149.901,2112.702,171878816.0,-41.857,-1.91,2170.332,2181.694,2355.487,269779081.6,287552875.2,345860880.0
2016-08-31,2113.674,2218.289,2191.758,2066.175,239443664.0,69.346,3.27,2168.1,2233.962,2332.021,296528252.8,319742552.0,351792713.6
2016-07-29,2231.182,2299.859,2122.412,2109.132,335460672.0,-105.378,-4.73,2177.405,2262.614,2296.021,324108678.4,330370710.4,356930109.6
2016-06-30,2164.727,2238.353,2227.79,2031.667,346324992.0,67.99,3.15,2128.952,2258.64,2268.443,298539308.8,327688080.0,350278328.8
2016-05-31,2138.963,2235.959,2159.8,1975.065,255787264.0,21.062,0.98,2082.207,2235.548,2232.717,285597580.8,326150185.6,342271906.4
2016-04-29,2223.377,2330.055,2138.738,2083.635,305624672.0,-99.548,-4.45,2193.057,2273.552,2201.771,305326668.8,344655065.6,341834355.2
2016-03-31,1881.321,2277.917,2238.286,1841.224,377345792.0,358.14,19.05,2299.825,2345.539,2166.057,342956851.2,350729923.2,337508065.6
2016-02-29,1989.207,2249.691,1880.146,1866.25,207613824.0,-113.919,-5.71,2347.823,2475.995,2121.37,336632742.4,365982044.8,329676940.8
2016-01-29,2706.275,2710.299,1994.065,1888.25,281616352.0,-719.983,-26.53,2388.329,2573.769,2097.598,356836851.2,394948092.8,328437992.8
2015-12-31,2669.302,2850.693,2714.048,2525.342,354432704.0,41.467,1.55,2388.889,2607.88,2063.801,366702790.4,416743811.2,320174208.4
2015-11-30,2416.1,2915.95,2672.581,2407.553,493775584.0,194.304,7.84,2354.048,2529.28,1992.26,383983462.4,404168884.8,307824758.0
2015-10-30,2113.027,2586.948,2478.277,2112.58,345725248.0,395.604,19.0,2391.253,2430.079,1925.02,358502995.2,383842875.2,290108534.8
2015-09-30,1959.455,2135.512,2082.673,1779.181,308634368.0,85.808,4.3,2604.166,2329.428,1872.851,395331347.2,383489508.8,281052227.6
2015-08-31,2475.328,2747.832,1996.865,1843.186,330946048.0,-542.979,-21.38,2759.21,2278.246,1843.517,433059334.4,372868577.6,275173142.0
2015-07-31,2842.166,3014.177,2539.844,2304.761,440836064.0,-318.762,-11.15,2826.871,2229.886,1808.896,466784832.0,358393627.2,267198598.8
2015-06-30,3580.077,4037.959,2858.606,2485.456,366373248.0,-684.238,-19.31,2704.511,2129.989,1750.245,424354307.2,339013644.8,253813926.0
2015-05-29,2868.102,3677.325,3542.844,2753.87,529867008.0,684.954,23.97,2468.906,1986.575,1669.092,409182755.2,324286208.0,245265329.2
2015-04-30,2346.996,2918.745,2857.89,2345.75,497274304.0,522.719,22.39,2054.69,1766.745,1560.346,371647670.4,293371836.8,226642349.2
2015-03-31,1944.106,2405.559,2335.171,1932.82,499573536.0,407.127,21.12,1797.282,1621.427,1476.709,312677820.8,261927892.8,211480458.0
2015-02-27,1667.119,1936.071,1928.044,1660.046,228683440.0,247.464,14.72,1632.901,1519.723,1416.651,250002422.4,223604605.6,193204368.0
2015-01-30,1470.578,1759.003,1680.58,1429.084,290515488.0,208.816,14.19,1555.467,1455.24,1370.831,253672982.4,211480631.2,186218058.0
2014-12-31,1569.65,1674.977,1471.764,1450.049,342191584.0,-99.087,-6.31,1504.245,1419.962,1340.454,239389660.8,196374194.4,177707917.6
2014-11-28,1513.253,1582.483,1570.851,1434.269,202425056.0,57.584,3.81,1478.801,1416.275,1311.335,215096003.2,178614946.4,163316893.6
2014-10-31,1540.874,1569.055,1513.267,1465.956,186196544.0,-27.607,-1.79,1445.573,1408.787,1276.115,211177964.8,177477706.4,157232402.4
2014-09-30,1428.365,1540.952,1540.874,1427.927,247036240.0,116.405,8.17,1406.545,1387.905,1243.506,197206788.8,176003570.4,151117252.4
2014-08-29,1339.982,1465.665,1424.469,1321.203,219098880.0,79.925,5.94,1355.012,1370.501,1205.263,169288280.0,168614207.2,143440293.2
2014-07-31,1405.439,1428.672,1344.544,1255.69,220723296.0,-60.166,-4.28,1335.678,1351.61,1169.732,153358728.0,166244450.4,136143319.6
