date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-11-23,2156.46,2191.26,2165.71,2146.62,34697444.0,7.75,0.36,2156.289,2160.763,2174.193,43889773.2,41510793.6,52455145.6
2016-11-18,2146.83,2208.98,2157.96,2146.83,60221488.0,10.85,0.51,2159.346,2164.489,2176.466,46925338.0,43466458.0,55485307.4
2016-11-11,2141.3,2154.85,2147.11,2098.56,50753552.0,1.88,0.09,2166.599,2165.779,2174.936,44413855.6,42271164.8,56421961.0
2016-11-04,2137.13,2168.34,2145.23,2135.28,21916514.0,-20.203,-0.93,2167.157,2170.043,2173.725,41139702.8,42863088.4,57960249.8
2016-10-28,2184.11,2207.807,2165.433,2165.03,51859868.0,-15.563,-0.71,2169.413,2175.975,2175.791,43706000.0,47330857.8,59153012.5
2016-10-21,2199.182,2202.487,2180.996,2160.005,49875268.0,-13.231,-0.6,2165.238,2171.816,2177.768,39131814.0,46535787.0,61154643.1
2016-10-14,2165.852,2216.521,2194.227,2163.405,47664076.0,44.326,2.06,2169.632,2164.622,2172.213,40007578.0,45898650.6,61837924.7
2016-09-30,2154.399,2161.764,2149.901,2112.702,34382788.0,-6.609,-0.31,2164.958,2157.44,2165.766,40128474.0,48292256.6,62353351.3
2016-09-23,2149.372,2178.532,2156.51,2149.372,34748000.0,11.953,0.56,2172.928,2167.45,2159.532,44586474.0,52112798.6,62971723.1
2016-09-14,2163.451,2179.982,2144.557,2131.714,28988938.0,-58.41,-2.65,2182.537,2178.178,2158.167,50955715.6,58296835.4,63988226.7
2016-09-09,2178.634,2232.121,2202.967,2161.925,54254088.0,32.11,1.48,2178.394,2187.622,2157.876,53939760.0,63399497.6,64893610.6
2016-09-02,2187.723,2210.397,2170.857,2160.115,48268556.0,-18.892,-0.86,2159.612,2188.443,2154.573,51789723.2,67504156.8,65792761.4
2016-08-26,2205.575,2213.41,2189.749,2152.113,56672788.0,-14.807,-0.67,2149.923,2184.094,2161.514,56456039.2,70572757.2,67962504.8
2016-08-19,2126.79,2218.289,2204.556,2112.25,66594208.0,80.715,3.8,2161.973,2177.408,2163.524,59639123.2,73057411.2,69075179.8
2016-08-12,2102.241,2164.625,2123.841,2083.98,43909160.0,14.786,0.7,2173.818,2175.607,2163.564,65637955.2,70975167.2,69828628.6
2016-08-05,2113.674,2133.176,2109.055,2066.175,43503904.0,-13.357,-0.63,2196.85,2183.72,2168.177,72859235.2,75773499.2,72743607.4
2016-07-29,2245.864,2284.283,2122.412,2109.132,71600136.0,-127.587,-5.67,2217.275,2179.803,2171.617,83218590.4,77777198.8,74928057.0
2016-07-22,2257.418,2289.668,2249.999,2234.209,72588208.0,-13.785,-0.61,2218.265,2174.092,2162.24,84689475.2,76414446.0,74325546.6
2016-07-15,2242.26,2299.859,2263.784,2182.03,96588368.0,24.782,1.11,2192.843,2151.614,2145.092,86475699.2,73830647.6,74480127.8
2016-07-08,2195.622,2259.287,2239.002,2193.844,80015560.0,27.825,1.26,2177.395,2138.155,2132.649,76312379.2,69679618.0,73129054.2
2016-07-01,2111.1,2241.628,2211.177,2110.603,95300680.0,83.813,3.94,2170.59,2128.129,2131.249,78687763.2,66387723.6,72431180.2
2016-06-24,2117.986,2157.941,2127.364,2060.196,78954560.0,4.474,0.21,2142.331,2120.704,2125.54,72335807.2,64081366.0,70603211.0
2016-06-17,2150.392,2165.283,2122.89,2031.667,81519328.0,-63.654,-2.91,2129.919,2138.935,2118.875,68139416.8,65352252.4,69901007.4
2016-06-08,2212.457,2219.275,2186.544,2166.965,45771768.0,-18.43,-0.84,2110.385,2149.639,2120.21,61185596.0,65092948.4,69723752.6
2016-06-03,2054.617,2236.578,2204.974,2033.665,91892480.0,135.089,6.53,2098.915,2151.522,2116.528,63046856.8,68682090.0,71116657.0
2016-05-27,2072.997,2111.26,2069.885,2019.297,63540900.0,4.584,0.22,2085.668,2152.633,2118.728,54087684.0,69713715.6,69777122.2
2016-05-20,2017.843,2107.731,2065.301,2000.526,57972608.0,40.078,1.98,2099.076,2163.431,2150.936,55826924.8,72078915.2,69337003.8
2016-05-13,2107.333,2107.333,2025.223,1975.065,46750224.0,-103.971,-4.88,2147.951,2150.388,2187.408,62565088.0,72236647.2,69924477.4
2016-05-06,2138.963,2235.959,2129.194,2126.874,55078072.0,-9.544,-0.45,2188.893,2138.57,2227.66,69000300.8,75129608.0,71627312.6
2016-04-29,2128.655,2176.333,2138.738,2083.635,47096616.0,1.814,0.09,2204.128,2127.143,2254.765,74317323.2,76578490.4,72935955.4
2016-04-22,2288.42,2289.049,2136.924,2090.95,72237104.0,-172.752,-7.48,2219.598,2134.37,2282.436,85339747.2,78474636.8,75087145.4
2016-04-15,2255.069,2330.055,2309.676,2236.442,91663424.0,79.742,3.58,2227.787,2130.376,2308.067,88330905.6,77125056.0,77384097.4
2016-04-08,2207.464,2316.629,2229.934,2194.234,78926288.0,24.565,1.11,2152.826,2098.815,2332.591,81908206.4,74449762.4,78810585.4
2016-04-01,2233.131,2271.964,2205.369,2130.851,81663184.0,-10.717,-0.48,2088.247,2090.78,2356.602,81258915.2,74354556.8,81410612.2
2016-03-25,2214.913,2277.917,2216.086,2183.601,102208736.0,38.216,1.75,2050.157,2081.533,2379.404,78839657.6,73551224.0,82441111.8
2016-03-18,1962.105,2194.355,2177.87,1961.418,87192896.0,243.0,12.56,2049.141,2084.824,2392.514,71609526.4,69840528.8,82134125.8
2016-03-11,1935.093,2015.706,1934.87,1865.65,59549928.0,27.829,1.46,2032.965,2138.441,2410.539,65919206.4,66595092.4,83531052.2
2016-03-04,2000.572,2063.531,1907.041,1841.224,75679832.0,-107.879,-5.35,2044.804,2224.427,2436.247,66991318.4,67612307.6,85563314.6
2016-02-26,2235.17,2249.691,2014.92,1980.166,69566896.0,-196.086,-8.87,2093.313,2316.749,2451.728,67450198.4,68125017.2,83495803.4
2016-02-19,2029.556,2239.91,2211.006,2029.556,66058080.0,114.02,5.44,2112.909,2382.386,2455.116,68262790.4,69293420.4,82060693.4
