,code,name
0,603999,读者传媒
1,603998,方盛制药
2,603997,继峰股份
3,603996,中新科技
4,603993,洛阳钼业
5,603989,艾华集团
6,603988,中电电机
7,603987,康德莱
8,603986,兆易创新
9,603979,金诚信
10,603977,国泰集团
11,603969,银龙股份
12,603968,醋化股份
13,603959,百利科技
14,603958,哈森股份
15,603939,益丰药房
16,603936,博敏电子
17,603919,金徽酒
18,603918,金桥信息
19,603909,合诚股份
20,603901,永创智能
21,603900,N通灵
22,603899,晨光文具
23,603898,好莱客
24,603889,新澳股份
25,603888,新华网
26,603887,城地股份
27,603885,吉祥航空
28,603883,老百姓
29,603869,北部湾旅
30,603868,飞科电器
31,603866,桃李面包
32,603861,白云电器
33,603859,能科股份
34,603858,步长制药
35,603843,正平股份
36,603838,四通股份
37,603828,柯利达
38,603822,嘉澳环保
39,603818,曲美家居
40,603816,顾家家居
41,603808,歌力思
42,603806,福斯特
43,603800,道森股份
44,603799,华友钴业
45,603798,康普顿
46,603789,星光农机
47,603788,宁波高发
48,603779,威龙股份
49,603778,乾景园林
50,603777,来伊份
51,603766,隆鑫通用
52,603738,泰晶科技
53,603737,三棵树
54,603729,龙韵股份
55,603727,博迈科
56,603726,朗迪集团
57,603718,海利生物
58,603716,塞力斯
59,603703,盛洋科技
60,603701,德宏股份
61,603699,纽威股份
62,603698,航天工程
63,603696,安记食品
64,603688,石英股份
65,603686,龙马环卫
66,603678,火炬电子
67,603669,灵康药业
68,603667,五洲新春
69,603663,三祥新材
70,603658,安图生物
71,603636,南威软件
72,603633,徕木股份
73,603618,杭电股份
74,603616,韩建河山
75,603611,诺力股份
76,603609,禾丰牧业
77,603608,天创时尚
78,603606,东方电缆
79,603601,再升科技
80,603600,永艺股份
81,603599,广信股份
82,603598,引力传媒
83,603589,口子窖
84,603588,高能环境
85,603569,长久物流
86,603568,伟明环保
87,603567,珍宝岛
88,603566,普莱柯
89,603558,健盛集团
90,603556,海兴电力
91,603555,贵人鸟
92,603528,多伦科技
93,603520,司太立
94,603519,立霸股份
95,603518,维格娜丝
96,603515,欧普照明
97,603508,思维列控
98,603456,九洲药业
99,603421,鼎信通讯
100,603399,新华龙
101,603398,邦宝益智
102,603393,新天然气
103,603377,东方时尚
104,603369,今世缘
105,603368,柳州医药
106,603366,日出东方
107,603355,莱克电气
108,603339,四方冷链
109,603338,浙江鼎力
110,603333,明星电缆
111,603328,依顿电子
112,603322,超讯通信
113,603318,派思股份
114,603315,福鞍股份
115,603313,恒康家居
116,603311,金海环境
117,603309,维力医疗
118,603308,应流股份
119,603306,华懋科技
120,603300,华铁科技
121,603299,井神股份
122,603288,海天味业
123,603268,松发股份
124,603258,电魂网络
125,603227,雪峰科技
126,603223,恒通股份
127,603222,济民制药
128,603203,快克股份
129,603199,九华旅游
130,603198,迎驾贡酒
131,603189,网达软件
132,603188,亚邦股份
133,603169,兰石重装
