,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,76378089561,733007153665,534477739,292858602,2856370736,735863524401,2015-06-01
0,82588173381,742214105246,396920629,287070693,2883108282,745097213528,2015-06-02
0,83282082170,747086620524,434872507,289585694,2857001726,749943622250,2015-06-03
0,85128832280,752290936643,446120077,304033132,2848651024,755139587667,2015-06-04
0,92631968257,748157582936,418672454,316675686,3030093245,751187676181,2015-06-05
0,85041374325,746442467724,434973026,328917405,3165781871,749608249595,2015-06-08
0,72503163533,748477647040,397050637,328628067,3141874234,751619521274,2015-06-09
0,74863122982,754930196763,481006752,330873149,3218285055,758148481818,2015-06-10
0,75806602169,761979456459,427364164,335290268,3278375214,765257831673,2015-06-11
0,78004383693,767122163366,501462578,334681002,3284029428,770406192794,2015-06-12
0,78928671819,771159310316,439921656,320242856,3105634844,774264945160,2015-06-15
0,68704456650,775494763565,399603672,284380952,2672185834,778166949399,2015-06-16
0,57647973869,779939203269,506215806,270451450,2599119307,782538322576,2015-06-17
0,54302586867,783724333715,439212038,256851829,2396576792,786120910507,2015-06-18
0,52613840026,781785835539,429820050,194995098,1833178936,783619014475,2015-06-19
0,50361201915,777939378393,501204000,188968127,1894166767,779833545160,2015-06-23
0,57601491190,766627175015,594975097,238183139,2256618737,768883793752,2015-06-24
0,57767003145,758593917931,524349383,243871104,2301780220,760895698151,2015-06-25
0,48864721395,738707126516,566505382,184624774,1714239476,740421365992,2015-06-26
0,57998603023,723644734435,754334135,187672115,1629953335,725274687770,2015-06-29
0,57798561189,709162691967,610388236,185076010,1757399394,710920091361,2015-06-30
0,56949534756,701749001117,510240562,185938632,1690486249,703439487366,2015-07-01
0,47321103534,685837823740,540431101,171425545,1466448908,687304272648,2015-07-02
0,44658045429,661771568517,299123140,135396950,1153988037,662925556554,2015-07-03
0,48178914259,619037358022,103342005,136524693,1103564058,620140922080,2015-07-06
0,24913810751,573004327197,52142398,112379032,911259238,573915586435,2015-07-07
0,15906182294,515212343591,56075451,124035462,883521852,516095865443,2015-07-08
0,26398882911,510159216727,50688548,109839040,875775680,511034992407,2015-07-09
0,27011987685,505945776955,69685177,115325727,956330881,506902107836,2015-07-10
0,38243374580,502705215185,52918106,114120392,980534727,503685749912,2015-07-13
0,44837686658,502165088913,47528878,116865969,979455259,503144544172,2015-07-14
0,48998586370,499370428784,70695331,108574309,900678766,500271107550,2015-07-15
0,43527711140,500271915831,88479426,108598009,903823293,501175739124,2015-07-16
0,50845309187,504255441761,81385359,113256589,976975991,505232417752,2015-07-17
0,57497327280,502482065141,112232060,117320535,992711582,503474776723,2015-07-20
0,49099274153,504055215370,130410016,133435324,1080466093,505135681463,2015-07-21
0,54725753237,507535705730,127384621,140326562,1112220421,508647926151,2015-07-22
0,61035857013,514057673710,167605400,137303845,1131303311,515188977021,2015-07-23
0,66398135946,513599336968,181174800,143431074,1120970976,514720307944,2015-07-24
0,56645261825,507551673784,200074668,141507561,1005867563,508557541347,2015-07-27
0,43301800582,491838698549,201445510,129527120,952151347,492790849896,2015-07-28
0,40350428447,487438624110,180194248,135926756,1019504082,488458128192,2015-07-29
0,44962762796,486249919886,204341485,139970844,1007357911,487257277797,2015-07-30
0,28500813107,475446028932,164324543,139057556,1008473556,476454502488,2015-07-31
0,24653238452,461334491176,88481048,136285888,988706319,462323197495,2015-08-03
0,39427026777,467269519933,5529842,131326368,1025030861,468294550794,2015-08-04
0,38285992283,466810514866,1398208,128981526,987589681,467798104547,2015-08-05
0,26900258682,465555351702,1619600,125981284,957821954,466513173656,2015-08-06
0,36723775989,468603376994,1410500,121109158,951763628,469555140622,2015-08-07
0,52704540514,475981646428,1191900,115487244,951636002,476933282430,2015-08-10
0,55588142308,481040889023,1856400,111523948,925535339,481966424362,2015-08-11
0,42136857991,481886311617,810900,108653651,897773324,482784084941,2015-08-12
0,43735207631,486695514736,1571500,107186090,903864538,487599379274,2015-08-13
