,code,name,area
0,002451,摩恩电气,上海
1,300226,上海钢联,上海
2,600816,安信信托,上海
3,603012,创力集团,上海
4,600833,第一医药,上海
5,600823,世茂股份,上海
6,002328,新朋股份,上海
7,601788,光大证券,上海
8,603887,城地股份,上海
9,600597,光明乳业,上海
10,300442,普丽盛,上海
11,600503,华丽家族,上海
12,300245,天玑科技,上海
13,002278,神开股份,上海
14,600612,老凤祥,上海
15,300129,泰胜风能,上海
16,300074,华平股份,上海
17,600517,置信电气,上海
18,600530,交大昂立,上海
19,600611,大众交通,上海
20,600026,中海发展,上海
21,600420,现代制药,上海
22,300253,卫宁健康,上海
23,600826,兰生股份,上海
24,002028,思源电气,上海
25,603868,飞科电器,上海
26,600601,方正科技,上海
27,600604,市北高新,上海
28,600650,锦江投资,上海
29,300462,华铭智能,上海
30,300551,古鳌科技,上海
31,603918,金桥信息,上海
32,600837,海通证券,上海
33,300017,网宿科技,上海
34,600819,耀皮玻璃,上海
35,600958,东方证券,上海
36,002454,松芝股份,上海
37,600094,大名城,上海
38,300483,沃施股份,上海
39,600641,万业企业,上海
40,002269,美邦服饰,上海
41,002022,科华生物,上海
42,600655,豫园商城,上海
43,603729,龙韵股份,上海
44,300225,金力泰,上海
45,002706,良信电器,上海
46,600665,天地源,上海
47,300378,鼎捷软件,上海
48,002568,百润股份,上海
49,600171,上海贝岭,上海
50,600836,界龙实业,上海
51,603009,北特科技,上海
52,600689,上海三毛,上海
53,600638,新黄浦,上海
54,603020,爱普股份,上海
55,600629,华建集团,上海
56,600196,复星医药,上海
57,600637,东方明珠,上海
58,300039,上海凯宝,上海
59,600748,上实发展,上海
60,600643,爱建集团,上海
61,600626,申达股份,上海
62,300336,新文化,上海
63,002058,威 尔 泰,上海
64,300501,海顺新材,上海
65,600616,金枫酒业,上海
66,600088,中视传媒,上海
67,002158,汉钟精机,上海
68,002506,协鑫集成,上海
69,601601,中国太保,上海
70,601328,交通银行,上海
71,600827,百联股份,上海
72,600618,氯碱化工,上海
73,600647,同达创业,上海
74,600315,上海家化,上海
75,300326,凯利泰,上海
76,600850,华东电脑,上海
77,603515,欧普照明,上海
78,300171,东富龙,上海
79,600019,宝钢股份,上海
80,600754,锦江股份,上海
81,600825,新华传媒,上海
82,600882,广泽股份,上海
83,601229,上海银行,上海
84,002162,悦心健康,上海
85,600272,开开实业,上海
86,600846,同济科技,上海
87,002527,新时达,上海
88,300380,安硕信息,上海
89,300286,安科瑞,上海
90,600635,大众公用,上海
91,600508,上海能源,上海
92,600642,申能股份,上海
93,600843,上工申贝,上海
94,600193,创兴资源,上海
95,600640,号百控股,上海
96,600050,中国联通,上海
97,600284,浦东建设,上海
98,000668,荣丰控股,上海
99,600620,天宸股份,上海
100,601211,国泰君安,上海
101,300330,华虹计通,上海
102,600851,海欣股份,上海
103,300153,科泰电源,上海
104,002116,中国海诚,上海
105,300067,安诺其,上海
106,600695,绿庭投资,上海
107,600895,张江高科,上海
108,600170,上海建工,上海
109,601607,上海医药,上海
110,600824,益民集团,上海
111,603030,全筑股份,上海
112,600628,新世界,上海
113,603003,龙宇燃油,上海
114,600490,鹏欣资源,上海
115,600606,绿地控股,上海
116,601616,广电电气,上海
117,300222,科大智能,上海
118,600119,长江投资,上海
119,601872,招商轮船,上海
120,600018,上港集团,上海
121,300236,上海新阳,上海
122,600651,飞乐音响,上海
123,600278,东方创业,上海
124,600820,隧道股份,上海
125,300061,康耐特,上海
126,600835,上海机电,上海
127,600844,丹化科技,上海
128,600834,申通地铁,上海
129,603131,上海沪工,上海
130,002605,姚记扑克,上海
131,603159,上海亚虹,上海
132,300469,信息发展,上海
133,002252,上海莱士,上海
134,600320,振华重工,上海
135,600073,上海梅林,上海
136,300008,天海防务,上海
137,600634,中技控股,上海
138,603189,网达软件,上海
139,600767,运盛医疗,上海
140,300508,维宏股份,上海
141,601519,大智慧,上海
142,000863,三湘印象,上海
143,300327,中颖电子,上海
144,600072,钢构工程,上海
145,600210,紫江企业,上海
146,600708,光明地产,上海
147,002401,中海科技,上海
148,600151,航天机电,上海
149,300272,开能环保,上海
150,603022,新通联,上海
151,600150,中国船舶,上海
152,600848,上海临港,上海
153,600614,鼎立股份,上海
154,600692,亚通股份,上海
155,002636,金安国纪,上海
156,002565,上海绿新,上海
157,002195,二三四五,上海
158,600822,上海物贸,上海
159,601595,上海电影,上海
160,600652,游久游戏,上海
161,601021,春秋航空,上海
162,600662,强生控股,上海
163,600623,华谊集团,上海
164,600696,匹凸匹,上海
165,601727,上海电气,上海
166,603718,海利生物,上海
167,300170,汉得信息,上海
168,300059,东方财富,上海
169,600741,华域汽车,上海
170,600676,交运股份,上海
171,600613,神奇制药,上海
172,300168,万达信息,上海
173,600818,中路股份,上海
174,600639,浦东金桥,上海
175,300493,润欣科技,上海
176,300126,锐奇股份,上海
177,002561,徐家汇,上海
178,600630,龙头股份,上海
179,601968,宝钢包装,上海
180,600622,嘉宝集团,上海
181,603128,华贸物流,上海
182,600610,中毅达,上海
183,600680,上海普天,上海
184,600115,东方航空,上海
185,603633,徕木股份,上海
186,600621,华鑫股份,上海
187,600648,外高桥,上海
188,600021,上海电力,上海
189,600732,*ST新梅,上海
190,002184,海得控制,上海
191,600605,汇通能源,上海
192,300262,巴安水务,上海
193,603885,吉祥航空,上海
194,603108,润达医疗,上海
195,600009,上海机场,上海
196,600500,中化国际,上海
197,002346,柘中股份,上海
198,300398,飞凯材料,上海
199,002486,嘉麟杰,上海
200,600679,上海凤凰,上海
201,600061,国投安信,上海
202,603987,康德莱,上海
203,603899,晨光文具,上海
204,600608,上海科技,上海
205,601231,环旭电子,上海
206,600688,上海石化,上海
207,600615,丰华股份,上海
208,600675,*ST中企,上海
209,600663,陆家嘴,上海
210,600661,新南洋,上海
211,600636,三爱富,上海
212,600602,云赛智联,上海
213,300180,华峰超纤,上海
214,300511,雪榕生物,上海
215,600104,上汽集团,上海
216,600654,中安消,上海
217,601866,中海集运,上海
218,600081,东风科技,上海
219,002178,延华智能,上海
220,300230,永利股份,上海
221,600000,浦发银行,上海
222,002669,康达新材,上海
223,603777,来伊份,上海
224,600097,开创国际,上海
225,600845,宝信软件,上海
226,002324,普利特,上海
227,600838,上海九百,上海
228,600624,复旦复华,上海
229,600653,申华控股,上海
230,600619,海立股份,上海
231,600649,城投控股,上海
232,603006,联明股份,上海
233,600841,上柴股份,上海
234,600995,文山电力,云南
235,600497,驰宏锌锗,云南
236,600096,云天化,云南
237,600792,云煤能源,云南
238,000807,云铝股份,云南
239,000560,昆百大Ａ,云南
240,600459,贵研铂业,云南
241,000960,锡业股份,云南
242,000948,南天信息,云南
243,601099,太平洋,云南
244,002059,云南旅游,云南
245,300505,川金诺,云南
246,600239,云南城投,云南
247,600806,*ST昆机,云南
248,600265,*ST景谷,云南
249,300142,沃森生物,云南
250,002750,龙津药业,云南
251,002114,罗平锌电,云南
252,000667,美好置业,云南
253,002265,西仪股份,云南
254,002200,云投生态,云南
255,000878,云南铜业,云南
256,002727,一心堂,云南
257,002428,云南锗业,云南
258,000538,云南白药,云南
259,600422,昆药集团,云南
260,000903,云内动力,云南
261,600883,博闻科技,云南
262,002812,创新股份,云南
263,002053,云南能投,云南
264,002033,丽江旅游,云南
265,600725,*ST云维,云南
266,002128,露天煤业,内蒙
267,300239,东宝生物,内蒙
268,000975,银泰资源,内蒙
269,300355,蒙草生态,内蒙
270,600291,西水股份,内蒙
271,600010,包钢股份,内蒙
272,300049,福瑞股份,内蒙
273,000683,远兴能源,内蒙
274,600262,北方股份,内蒙
275,000780,平庄能源,内蒙
276,002688,金河生物,内蒙
277,600328,兰太实业,内蒙
278,600988,赤峰黄金,内蒙
279,600967,北方创业,内蒙
280,000611,*ST天首,内蒙
281,600295,鄂尔多斯,内蒙
282,600191,华资实业,内蒙
283,600887,伊利股份,内蒙
284,000426,兴业矿业,内蒙
285,600863,内蒙华电,内蒙
286,600277,亿利洁能,内蒙
287,601216,君正集团,内蒙
288,600201,生物股份,内蒙
289,600091,ST明科,内蒙
290,600111,北方稀土,内蒙
291,002310,东方园林,北京
292,300073,当升科技,北京
293,002467,二六三,北京
294,300392,腾信股份,北京
295,603123,翠微股份,北京
296,601669,中国电建,北京
297,601989,中国重工,北京
298,603888,新华网,北京
299,002373,千方科技,北京
300,600361,华联综超,北京
301,601908,京运通,北京
302,600657,信达地产,北京
303,600299,安迪苏,北京
304,300383,光环新网,北京
305,300055,万邦达,北京
306,002701,奥瑞金,北京
307,000065,北方国际,北京
308,000938,紫光股份,北京
309,002362,汉王科技,北京
310,000798,中水渔业,北京
311,603377,东方时尚,北京
312,600166,福田汽车,北京
313,002405,四维图新,北京
314,300072,三聚环保,北京
315,601985,中国核电,北京
316,002186,全 聚 德,北京
317,300364,中文在线,北京
318,601766,中国中车,北京
319,300011,鼎汉技术,北京
320,600055,万东医疗,北京
321,601818,光大银行,北京
322,300485,赛升药业,北京
323,600270,外运发展,北京
324,300309,吉艾科技,北京
325,600246,万通地产,北京
326,600578,京能电力,北京
327,300010,立思辰,北京
328,601800,中国交建,北京
329,600118,中国卫星,北京
330,300251,光线传媒,北京
331,603979,金诚信,北京
332,600900,长江电力,北京
333,002573,清新环境,北京
334,300271,华宇软件,北京
335,601718,际华集团,北京
336,601588,北辰实业,北京
337,600058,五矿发展,北京
338,300005,探路者,北京
339,002371,七星电子,北京
340,601126,四方股份,北京
341,300157,恒泰艾普,北京
342,300384,三联虹普,北京
343,002279,久其软件,北京
344,601992,金隅股份,北京
345,300002,神州泰岳,北京
346,600730,中国高科,北京
347,600962,国投中鲁,北京
348,300182,捷成股份,北京
349,000786,北新建材,北京
350,601117,中国化学,北京
351,600723,首商股份,北京
