,code,name,c_name
0,600011,华能国际,含H股
1,600012,皖通高速,含H股
2,600016,民生银行,含H股
3,600026,中海发展,含H股
4,600027,华电国际,含H股
5,600028,中国石化,含H股
6,600029,南方航空,含H股
7,600030,中信证券,含H股
8,600036,招商银行,含H股
9,600115,东方航空,含H股
10,600188,兖州煤业,含H股
11,600196,复星医药,含H股
12,600332,白云山,含H股
13,600362,江西铜业,含H股
14,600377,宁沪高速,含H股
15,600548,深高速,含H股
16,600585,海螺水泥,含H股
17,600600,青岛啤酒,含H股
18,600660,福耀玻璃,含H股
19,600685,中船防务,含H股
20,600688,上海石化,含H股
21,600775,南京熊猫,含H股
22,600806,*ST昆机,含H股
23,600808,马钢股份,含H股
24,600837,海通证券,含H股
25,600860,京城股份,含H股
26,600871,石化油服,含H股
27,600874,创业环保,含H股
28,600875,东方电气,含H股
29,600876,洛阳玻璃,含H股
30,601005,重庆钢铁,含H股
31,601038,一拖股份,含H股
32,601088,中国神华,含H股
33,601107,四川成渝,含H股
34,601111,中国国航,含H股
35,601186,中国铁建,含H股
36,601238,广汽集团,含H股
37,601288,农业银行,含H股
38,601318,中国平安,含H股
39,601328,交通银行,含H股
40,601333,广深铁路,含H股
41,601336,新华保险,含H股
42,601390,中国中铁,含H股
43,601398,工商银行,含H股
44,601588,北辰实业,含H股
45,601600,中国铝业,含H股
46,601601,中国太保,含H股
47,601607,上海医药,含H股
48,601618,中国中冶,含H股
49,601628,中国人寿,含H股
50,601633,长城汽车,含H股
51,601717,郑煤机,含H股
52,601727,上海电气,含H股
53,601766,中国中车,含H股
54,601800,中国交建,含H股
55,601808,中海油服,含H股
56,601818,光大银行,含H股
57,601857,中国石油,含H股
58,601866,中海集运,含H股
59,601880,大连港,含H股
60,601898,中煤能源,含H股
61,601899,紫金矿业,含H股
62,601919,中国远洋,含H股
63,601939,建设银行,含H股
64,601988,中国银行,含H股
65,601991,大唐发电,含H股
66,601992,金隅股份,含H股
67,601998,中信银行,含H股
68,603993,洛阳钼业,含H股
69,000002,万 科Ａ,含H股
70,000039,中集集团,含H股
71,000063,中兴通讯,含H股
72,000157,中联重科,含H股
73,000338,潍柴动力,含H股
74,000488,晨鸣纸业,含H股
75,000513,丽珠集团,含H股
76,000585,东北电气,含H股
77,000666,经纬纺机,含H股
78,000756,新华制药,含H股
79,000898,鞍钢股份,含H股
80,000921,海信科龙,含H股
81,002202,金风科技,含H股
82,002490,山东墨龙,含H股
83,002594,比亚迪,含H股
84,002672,东江环保,含H股
85,002703,浙江世宝,含H股
86,600122,宏图高科,IPV6概念
87,600198,大唐电信,IPV6概念
88,600410,华胜天成,IPV6概念
89,600485,信威集团,IPV6概念
90,600498,烽火通信,IPV6概念
91,600728,佳都科技,IPV6概念
92,600770,综艺股份,IPV6概念
93,600797,浙大网新,IPV6概念
94,000063,中兴通讯,IPV6概念
95,000532,力合股份,IPV6概念
96,000851,高鸿股份,IPV6概念
97,000890,法 尔 胜,IPV6概念
98,000938,紫光股份,IPV6概念
99,002089,新 海 宜,IPV6概念
100,002095,生 意 宝,IPV6概念
101,002268,卫 士 通,IPV6概念
102,002315,焦点科技,IPV6概念
103,002396,星网锐捷,IPV6概念
104,002439,启明星辰,IPV6概念
105,002544,杰赛科技,IPV6概念
106,300017,网宿科技,IPV6概念
107,300047,天源迪科,IPV6概念
108,300051,三五互联,IPV6概念
109,300113,顺网科技,IPV6概念
110,600069,银鸽投资,ST板块
111,600071,凤凰光学,ST板块
112,600072,钢构工程,ST板块
113,600091,ST明科,ST板块
114,600145,*ST新亿,ST板块
115,600163,中闽能源,ST板块
116,600217,中再资环,ST板块
117,600242,中昌数据,ST板块
118,600247,ST成城,ST板块
119,600265,*ST景谷,ST板块
120,600301,*ST南化,ST板块
121,600385,山东金泰,ST板块
122,600401,海润光伏,ST板块
123,600408,安泰集团,ST板块
124,600539,ST狮头,ST板块
125,600608,上海科技,ST板块
126,600644,乐山电力,ST板块
127,600656,退市博元,ST板块
128,600691,阳煤化工,ST板块
129,600710,*ST常林,ST板块
130,600715,文投控股,ST板块
131,600722,金牛化工,ST板块
132,600732,*ST新梅,ST板块
133,600779,水井坊,ST板块
134,600793,宜宾纸业,ST板块
135,600817,*ST宏盛,ST板块
136,600870,厦华电子,ST板块
137,600962,国投中鲁,ST板块
138,600984,建设机械,ST板块
139,900922,三毛B股,ST板块
140,000059,华锦股份,ST板块
141,000068,华控赛格,ST板块
142,000403,ST生化,ST板块
143,000510,金路集团,ST板块
144,000520,长航凤凰,ST板块
145,000557,西部创业,ST板块
146,000590,启迪古汉,ST板块
147,000611,*ST天首,ST板块
148,000659,珠海中富,ST板块
149,000677,恒天海龙,ST板块
150,000711,京蓝科技,ST板块
151,000755,山西三维,ST板块
152,000799,酒鬼酒,ST板块
153,000815,美利云,ST板块
154,000892,星美联合,ST板块
155,000912,泸天化,ST板块
156,000927,一汽夏利,ST板块
157,000976,春晖股份,ST板块
158,000995,*ST皇台,ST板块
159,002015,霞客环保,ST板块
160,002192,融捷股份,ST板块
161,002306,中科云网,ST板块
162,002417,三元达,ST板块
163,002506,协鑫集成,ST板块
164,002608,*ST舜船,ST板块
165,002633,申科股份,ST板块
166,600012,皖通高速,民营银行
167,600095,哈高科,民营银行
168,600113,浙江东日,民营银行
169,600122,宏图高科,民营银行
170,600143,金发科技,民营银行
171,600162,香江控股,民营银行
172,600196,复星医药,民营银行
173,600208,新湖中宝,民营银行
174,600255,鑫科材料,民营银行
175,600260,凯乐科技,民营银行
176,600327,大东方,民营银行
177,600351,亚宝药业,民营银行
178,600400,红豆股份,民营银行
179,600478,科力远,民营银行
180,600546,*ST山煤,民营银行
181,600692,亚通股份,民营银行
182,600728,佳都科技,民营银行
183,600882,广泽股份,民营银行
184,600884,杉杉股份,民营银行
185,600998,九州通,民营银行
186,601339,百隆东方,民营银行
187,601567,三星医疗,民营银行
188,601777,力帆股份,民营银行
189,601886,江河集团,民营银行
190,000620,新华联,民营银行
191,000651,格力电器,民营银行
192,000656,金科股份,民营银行
193,000690,宝新能源,民营银行
194,000900,现代投资,民营银行
195,002024,苏宁云商,民营银行
196,002031,巨轮智能,民营银行
197,002064,华峰氨纶,民营银行
198,002075,沙钢股份,民营银行
199,002171,楚江新材,民营银行
200,002177,御银股份,民营银行
201,002183,怡 亚 通,民营银行
202,002271,东方雨虹,民营银行
203,002277,友阿股份,民营银行
204,002286,保龄宝,民营银行
205,002298,中电鑫龙,民营银行
206,002360,同德化工,民营银行
207,002361,神剑股份,民营银行
208,002398,建研集团,民营银行
209,002457,青龙管业,民营银行
210,002567,唐人神,民营银行
211,002612,朗姿股份,民营银行
212,002622,融钰集团,民营银行
213,002640,跨境通,民营银行
214,002661,克明面业,民营银行
215,600076,康欣新材,黄河三角
216,600180,瑞茂通,黄河三角
217,600223,鲁商置业,黄河三角
218,600308,华泰股份,黄河三角
219,600309,万华化学,黄河三角
220,600319,*ST亚星,黄河三角
221,600426,华鲁恒升,黄河三角
222,600448,华纺股份,黄河三角
223,600529,山东药玻,黄河三角
224,600586,金晶科技,黄河三角
225,600587,新华医疗,黄河三角
226,600735,新华锦,黄河三角
227,600766,园城黄金,黄河三角
228,600777,新潮能源,黄河三角
229,600783,鲁信创投,黄河三角
230,600784,鲁银投资,黄河三角
231,600789,鲁抗医药,黄河三角
232,600882,广泽股份,黄河三角
233,600898,三联商社,黄河三角
234,600960,渤海活塞,黄河三角
235,600966,博汇纸业,黄河三角
236,600986,科达股份,黄河三角
237,601058,赛轮金宇,黄河三角
238,601678,滨化股份,黄河三角
239,603167,渤海轮渡,黄河三角
240,000416,民生控股,黄河三角
