,code,name,c_name
0,600031,三一重工,机械行业
1,600114,东睦股份,机械行业
2,600149,廊坊发展,机械行业
3,600169,太原重工,机械行业
4,600218,全柴动力,机械行业
5,600243,青海华鼎,机械行业
6,600262,北方股份,机械行业
7,600320,振华重工,机械行业
8,600346,恒力股份,机械行业
9,600388,龙净环保,机械行业
10,600421,仰帆控股,机械行业
11,600435,北方导航,机械行业
12,600475,华光股份,机械行业
13,600499,科达洁能,机械行业
14,600520,*ST中发,机械行业
15,600526,菲达环保,机械行业
16,600579,天华院,机械行业
17,600582,天地科技,机械行业
18,600592,龙溪股份,机械行业
19,600619,海立股份,机械行业
20,600710,*ST常林,机械行业
21,600761,安徽合力,机械行业
22,600765,中航重机,机械行业
23,600806,*ST昆机,机械行业
24,600815,厦工股份,机械行业
25,600841,上柴股份,机械行业
26,600855,航天长峰,机械行业
27,600860,京城股份,机械行业
28,600984,建设机械,机械行业
29,601002,晋亿实业,机械行业
30,601038,一拖股份,机械行业
31,601100,恒立液压,机械行业
32,601106,中国一重,机械行业
33,601177,杭齿前进,机械行业
34,601218,吉鑫科技,机械行业
35,601226,华电重工,机械行业
36,601369,陕鼓动力,机械行业
37,601608,中信重工,机械行业
38,601717,郑煤机,机械行业
39,601798,蓝科高新,机械行业
40,603011,合锻智能,机械行业
41,603012,创力集团,机械行业
42,603088,宁波精达,机械行业
43,603169,兰石重装,机械行业
44,603308,应流股份,机械行业
45,603315,福鞍股份,机械行业
46,603318,派思股份,机械行业
47,603338,浙江鼎力,机械行业
48,603355,莱克电气,机械行业
49,603698,航天工程,机械行业
50,603699,纽威股份,机械行业
51,603789,星光农机,机械行业
52,000039,中集集团,机械行业
53,000157,中联重科,机械行业
54,000404,华意压缩,机械行业
55,000410,沈阳机床,机械行业
56,000425,徐工机械,机械行业
57,000519,江南红箭,机械行业
58,000528,柳 工,机械行业
59,000530,大冷股份,机械行业
60,000551,创元科技,机械行业
61,000570,苏常柴Ａ,机械行业
62,000595,宝塔实业,机械行业
63,000617,*ST济柴,机械行业
64,000678,襄阳轴承,机械行业
65,000680,山推股份,机械行业
66,000777,中核科技,机械行业
67,000811,烟台冰轮,机械行业
68,000816,智慧农业,机械行业
69,000821,京山轻机,机械行业
70,000837,秦川机床,机械行业
71,000852,石化机械,机械行业
72,000856,*ST冀装,机械行业
73,000880,潍柴重机,机械行业
74,000903,云内动力,机械行业
75,000923,河北宣工,机械行业
76,000925,众合科技,机械行业
77,002006,精功科技,机械行业
78,002009,天奇股份,机械行业
79,002011,盾安环境,机械行业
80,002026,山东威达,机械行业
81,002046,轴研科技,机械行业
82,002050,三花智控,机械行业
83,002097,山河智能,机械行业
84,002101,广东鸿图,机械行业
85,002122,天马股份,机械行业
86,002131,利欧股份,机械行业
87,002147,新光圆成,机械行业
88,002150,通润装备,机械行业
89,002158,汉钟精机,机械行业
90,002204,大连重工,机械行业
91,002209,达 意 隆,机械行业
92,002248,华东数控,机械行业
93,002255,海陆重工,机械行业
94,002270,华明装备,机械行业
95,002272,川润股份,机械行业
96,002278,神开股份,机械行业
97,002282,博深工具,机械行业
98,002328,新朋股份,机械行业
99,002337,赛象科技,机械行业
100,002342,巨力索具,机械行业
101,002347,泰尔股份,机械行业
102,002353,杰瑞股份,机械行业
103,002366,台海核电,机械行业
104,002413,雷科防务,机械行业
105,002418,康盛股份,机械行业
106,002430,杭氧股份,机械行业
107,002435,长江润发,机械行业
108,002438,江苏神通,机械行业
109,002444,巨星科技,机械行业
110,002445,中南文化,机械行业
111,002459,天业通联,机械行业
112,002472,双环传动,机械行业
113,002480,新筑股份,机械行业
114,002483,润邦股份,机械行业
115,002490,山东墨龙,机械行业
116,002499,科林环保,机械行业
117,002509,天广中茂,机械行业
118,002514,宝馨科技,机械行业
119,002520,日发精机,机械行业
120,002523,天桥起重,机械行业
121,002526,山东矿机,机械行业
122,002529,海源机械,机械行业
123,002530,丰东股份,机械行业
124,002532,新界泵业,机械行业
125,002534,杭锅股份,机械行业
126,002535,林州重机,机械行业
127,002537,海立美达,机械行业
128,002552,宝鼎科技,机械行业
129,002553,南方轴承,机械行业
130,002559,亚威股份,机械行业
131,002564,天沃科技,机械行业
132,002591,恒大高新,机械行业
133,002595,豪迈科技,机械行业
134,002598,山东章鼓,机械行业
135,002611,东方精工,机械行业
136,002613,北玻股份,机械行业
137,002621,三垒股份,机械行业
138,002630,华西能源,机械行业
139,002633,申科股份,机械行业
140,002639,雪人股份,机械行业
141,002645,华宏科技,机械行业
142,002651,利君股份,机械行业
143,002667,鞍重股份,机械行业
144,002680,长生生物,机械行业
145,002685,华东重机,机械行业
146,002686,亿利达,机械行业
147,002690,美亚光电,机械行业
148,002691,冀凯股份,机械行业
149,002698,博实股份,机械行业
150,002747,埃斯顿,机械行业
151,300023,宝德股份,机械行业
152,300024,机器人,机械行业
153,300035,中科电气,机械行业
154,300056,三维丝,机械行业
