,code,name
0,000033,*ST新都
1,000037,*ST南电A
2,000155,*ST川化
3,000403,ST生化
4,000408,*ST金源
5,000504,*ST生物
6,000505,*ST珠江
7,000511,*ST烯碳
8,000606,*ST易桥
9,000611,*ST天首
10,000617,*ST济柴
11,000622,*ST恒立
12,000629,*ST钒钛
13,000633,*ST合金
14,000670,*ST盈方
15,000691,ST亚太
16,000693,ST华泽
17,000717,*ST韶钢
18,000831,*ST五稀
19,000856,*ST冀装
20,000913,*ST钱江
21,000933,*ST神火
22,000950,*ST建峰
23,000962,*ST东钽
24,000968,*ST煤气
25,000995,*ST皇台
26,002061,*ST江化
27,002069,*ST獐岛
28,002109,*ST兴化
29,002173,*ST创疗
30,002199,*ST东晶
31,002289,*ST宇顺
32,002336,*ST人乐
33,002379,*ST鲁丰
34,002423,*ST中特
35,002513,*ST蓝丰
36,002608,*ST舜船
37,600091,ST明科
38,600145,*ST新亿
39,600212,*ST江泉
40,600230,*ST沧大
41,600234,*ST山水
42,600247,ST成城
43,600265,*ST景谷
44,600301,*ST南化
45,600306,*ST商城
46,600319,*ST亚星
47,600339,*ST天利
48,600375,*ST星马
49,600390,*ST金瑞
50,600432,*ST吉恩
51,600520,*ST中发
52,600539,ST狮头
53,600546,*ST山煤
54,600556,ST慧球
55,600581,*ST八钢
56,600603,*ST兴业
57,600675,*ST中企
58,600701,*ST工新
59,600710,*ST常林
60,600721,*ST百花
61,600725,*ST云维
62,600732,*ST新梅
63,600760,*ST黑豹
64,600806,*ST昆机
65,600817,*ST宏盛
66,600866,*ST星湖
67,601918,*ST新集
