,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.689,39.45,39.19,40.75,39.0,39.18,11122241,15.44756,442283529,70.446,7.006,1136160.0,284040.0
1,603998,方盛制药,-2.451,17.51,17.82,17.94,17.18,17.95,21081905,7.83198,368275723,27.359,8.295,758194.76672,471329.31222
2,603997,继峰股份,-1.817,21.61,21.85,22.3,21.54,22.01,7564725,6.63572,165263801,49.114,6.235,907620.0,246354.0
3,603996,中新科技,-3.313,26.56,27.08,27.25,26.32,27.47,9039569,12.0287,241947890,36.889,5.955,797198.4,199598.4
4,603993,洛阳钼业,-2.133,4.13,4.21,4.21,4.12,4.22,68752029,0.53075,285784286,82.6,0.782,6974413.062687,5349890.778687
5,603989,艾华集团,2.076,39.33,38.49,39.36,38.44,38.53,2576349,3.05345,100173476,45.207,6.868,1179900.0,331846.875
6,603988,中电电机,-4.025,79.89,81.08,83.34,78.8,83.24,4151224,18.53225,335670416,150.736,9.882,639120.0,178953.6
7,603987,康德莱,10.033,16.56,16.56,16.56,16.56,15.05,8600,0.01635,142416,27.6,3.933,348240.24,87105.6
8,603986,兆易创新,0.0,177.97,0.0,0.0,0.0,177.97,0,0.0,0,84.748,14.389,1779700.0,444925.0
9,603979,金诚信,-2.174,20.25,20.46,20.79,20.06,20.7,14443073,8.16148,294722193,32.143,2.491,911250.0,358356.96
10,603977,国泰集团,9.994,19.92,19.92,19.92,19.92,18.11,42600,0.07706,848592,33.763,5.035,440391.36,110117.76
11,603969,银龙股份,-1.954,15.05,15.35,15.36,15.0,15.35,5051082,3.3093500000000002,76621192,45.606,3.888,602000.0,229708.9025
12,603968,醋化股份,-1.496,26.99,27.37,27.64,26.9,27.4,4868596,3.56413,132867907,47.351,4.475,551891.52,368683.4
13,603959,百利科技,-5.202,36.08,37.78,37.81,35.79,38.06,10529991,18.80356,385737953,80.178,9.843,808192.0,202048.0
14,603958,哈森股份,-3.847,39.24,40.5,40.52,39.18,40.81,5394539,9.92452,214691150,53.68,7.444,852920.64,213291.735408
15,603939,益丰药房,-0.06,33.17,33.3,33.49,33.08,33.19,1438091,0.9218100000000001,47852876,57.787,4.154,1203058.180586,517478.536
16,603936,博敏电子,0.0,41.8,0.0,0.0,0.0,41.8,0,0.0,0,86.008,7.603,699523.0,174933.0
